Date,Open,High,Low,Close,Adj Close,Volume
19/11/2010,53500.0,54000.0,53400.0,53500.0,53500.0,"19,17K"
22/11/2010,53500.0,54000.0,53500.0,53500.0,53500.0,"2,20K"
23/11/2010,51500.0,51500.0,51380.0,51380.0,51380.0,"10,56K"
24/11/2010,51300.0,51980.0,50900.0,50900.0,50900.0,"47,66K"
25/11/2010,50900.0,51700.0,50900.0,51600.0,51600.0,"7,60K"
26/11/2010,51500.0,51500.0,50500.0,51000.0,51000.0,"36,25K"
29/11/2010,50900.0,50900.0,50880.0,50900.0,50900.0,614.0
30/11/2010,50500.0,51300.0,50000.0,51300.0,51300.0,"15,72K"
01/12/2010,51300.0,51300.0,50500.0,50520.0,50520.0,"26,94K"
02/12/2010,50460.0,51440.0,50460.0,51000.0,51000.0,"22,86K"
03/12/2010,50800.0,51480.0,50700.0,50700.0,50700.0,"280,65K"
06/12/2010,50900.0,51500.0,50900.0,51000.0,51000.0,"28,89K"
07/12/2010,51800.0,52320.0,51000.0,51000.0,51000.0,"66,25K"
09/12/2010,50340.0,51180.0,50340.0,51100.0,51100.0,"8,20K"
10/12/2010,51240.0,52000.0,51120.0,51500.0,51500.0,"28,39K"
13/12/2010,51500.0,51800.0,51300.0,51760.0,51760.0,"27,86K"
14/12/2010,51760.0,53800.0,51760.0,53800.0,53800.0,"23,40K"
15/12/2010,53500.0,54560.0,53500.0,54500.0,54500.0,"78,18K"
16/12/2010,54400.0,55020.0,54400.0,55000.0,55000.0,"11,10K"
17/12/2010,54980.0,57000.0,54980.0,56220.0,56220.0,"123,08K"
20/12/2010,56100.0,57000.0,56000.0,56420.0,56420.0,"31,75K"
21/12/2010,56500.0,57000.0,56500.0,57000.0,57000.0,"27,71K"
22/12/2010,57000.0,57700.0,57000.0,57600.0,57600.0,"134,72K"
23/12/2010,57600.0,59900.0,57600.0,58800.0,58800.0,"24,36K"
24/12/2010,58000.0,59000.0,58000.0,59000.0,59000.0,"16,26K"
27/12/2010,59000.0,59900.0,58880.0,58880.0,58880.0,"50,23K"
29/12/2010,58000.0,58100.0,58000.0,58000.0,58000.0,"12,48K"
30/12/2010,58000.0,59000.0,57900.0,57900.0,57900.0,"1,82K"
03/01/2011,56000.0,57300.0,56000.0,56000.0,56000.0,"1,72K"
04/01/2011,56060.0,56740.0,56000.0,56000.0,56000.0,"6,36K"
05/01/2011,56000.0,56000.0,54980.0,55060.0,55060.0,"30,38K"
06/01/2011,55060.0,55060.0,54020.0,54040.0,54040.0,"10,61K"
07/01/2011,54100.0,54100.0,54000.0,54100.0,54100.0,"7,95K"
11/01/2011,56200.0,56200.0,54000.0,54600.0,54600.0,"8,59K"
12/01/2011,54620.0,55400.0,54600.0,55000.0,55000.0,"22,70K"
13/01/2011,55000.0,55400.0,55000.0,55000.0,55000.0,"73,67K"
14/01/2011,55540.0,56000.0,55100.0,55100.0,55100.0,"40,27K"
17/01/2011,55560.0,55560.0,55200.0,55200.0,55200.0,"14,36K"
18/01/2011,55600.0,56000.0,55540.0,55840.0,55840.0,"38,60K"
19/01/2011,55960.0,55960.0,55020.0,55260.0,55260.0,"28,80K"
20/01/2011,55280.0,55300.0,54800.0,55260.0,55260.0,"51,89K"
21/01/2011,55400.0,55560.0,55100.0,55200.0,55200.0,"11,04K"
24/01/2011,55400.0,55560.0,55400.0,55500.0,55500.0,"109,83K"
25/01/2011,55500.0,55500.0,55300.0,55480.0,55480.0,"11,98K"
26/01/2011,55500.0,55800.0,55300.0,55800.0,55800.0,"13,16K"
27/01/2011,56000.0,56000.0,55580.0,55980.0,55980.0,"21,64K"
28/01/2011,55980.0,56260.0,55980.0,56000.0,56000.0,"116,10K"
31/01/2011,56000.0,56000.0,55500.0,55760.0,55760.0,"6,08K"
01/02/2011,55780.0,56200.0,55360.0,55700.0,55700.0,"19,02K"
02/02/2011,55500.0,55900.0,55300.0,55900.0,55900.0,"24,34K"
03/02/2011,55700.0,55980.0,55700.0,55700.0,55700.0,"3,16K"
04/02/2011,55680.0,55680.0,55000.0,55000.0,55000.0,"79,21K"
07/02/2011,55200.0,55200.0,54660.0,54660.0,54660.0,"11,28K"
08/02/2011,55000.0,55000.0,54200.0,54980.0,54980.0,"2,88K"
09/02/2011,54780.0,54880.0,53540.0,54880.0,54880.0,"69,54K"
11/02/2011,54800.0,54900.0,54000.0,54800.0,54800.0,"4,59K"
14/02/2011,54800.0,54800.0,54000.0,54460.0,54460.0,925.0
15/02/2011,54000.0,54580.0,53500.0,54000.0,54000.0,"47,29K"
16/02/2011,54000.0,54100.0,53700.0,53700.0,53700.0,"29,98K"
17/02/2011,54000.0,54000.0,54000.0,54000.0,54000.0,"12,38K"
18/02/2011,53640.0,53640.0,52500.0,53400.0,53400.0,"25,66K"
21/02/2011,51300.0,53000.0,51300.0,52600.0,52600.0,"5,85K"
23/02/2011,52600.0,53400.0,52600.0,53400.0,53400.0,"5,02K"
24/02/2011,54000.0,54020.0,53980.0,53980.0,53980.0,"10,37K"
25/02/2011,53980.0,54100.0,53980.0,53980.0,53980.0,"11,48K"
28/02/2011,54000.0,54600.0,54000.0,54500.0,54500.0,"22,69K"
01/03/2011,54400.0,54800.0,53900.0,53900.0,53900.0,"15,81K"
02/03/2011,54000.0,54000.0,53900.0,54000.0,54000.0,"7,23K"
03/03/2011,54000.0,54500.0,54000.0,54500.0,54500.0,"2,85K"
04/03/2011,54220.0,55000.0,54220.0,54980.0,54980.0,"15,92K"
07/03/2011,55000.0,55000.0,54600.0,54700.0,54700.0,"5,87K"
08/03/2011,54700.0,54980.0,54700.0,54720.0,54720.0,"10,46K"
09/03/2011,54600.0,55000.0,54600.0,54600.0,54600.0,"20,68K"
10/03/2011,54980.0,54980.0,54980.0,54980.0,54980.0,"2,74K"
11/03/2011,54000.0,55000.0,54000.0,55000.0,55000.0,"15,16K"
14/03/2011,55440.0,55440.0,53500.0,54980.0,54980.0,"5,44K"
15/03/2011,54400.0,54400.0,53020.0,53100.0,53100.0,732.0
16/03/2011,54200.0,54200.0,54200.0,54200.0,54200.0,605.0
18/03/2011,55500.0,55500.0,54520.0,54520.0,54520.0,"39,60K"
22/03/2011,54500.0,54600.0,54220.0,54500.0,54500.0,"8,52K"
23/03/2011,54500.0,55000.0,54500.0,55000.0,55000.0,"35,00K"
24/03/2011,54800.0,54900.0,54780.0,54900.0,54900.0,"8,30K"
25/03/2011,55000.0,55000.0,54000.0,54000.0,54000.0,"4,43K"
28/03/2011,54040.0,54500.0,54000.0,54500.0,54500.0,"1,44K"
29/03/2011,54520.0,54560.0,54500.0,54500.0,54500.0,"3,70K"
30/03/2011,54500.0,54500.0,54380.0,54380.0,54380.0,"3,00K"
31/03/2011,54200.0,54600.0,54200.0,54600.0,54600.0,"3,10K"
01/04/2011,54620.0,54620.0,54600.0,54600.0,54600.0,"3,69K"
04/04/2011,54620.0,54900.0,54500.0,54500.0,54500.0,"18,46K"
05/04/2011,54600.0,54600.0,54400.0,54400.0,54400.0,"21,38K"
06/04/2011,54520.0,54540.0,54520.0,54520.0,54520.0,"2,03K"
07/04/2011,54680.0,54680.0,54500.0,54500.0,54500.0,"29,20K"
08/04/2011,54520.0,54520.0,54500.0,54500.0,54500.0,"1,15K"
11/04/2011,54420.0,54600.0,54420.0,54600.0,54600.0,"7,89K"
12/04/2011,54600.0,54600.0,52420.0,52900.0,52900.0,"5,35K"
13/04/2011,54980.0,54980.0,54000.0,54000.0,54000.0,"5,95K"
14/04/2011,54000.0,54000.0,54000.0,54000.0,54000.0,"2,79K"
15/04/2011,54000.0,54480.0,53300.0,54480.0,54480.0,741.0
18/04/2011,53540.0,53540.0,53540.0,53540.0,53540.0,153.0
19/04/2011,54000.0,54520.0,54000.0,54000.0,54000.0,"5,09K"
20/04/2011,54880.0,54880.0,54500.0,54500.0,54500.0,"13,19K"
25/04/2011,54000.0,54680.0,53040.0,54000.0,54000.0,"14,53K"
26/04/2011,54000.0,54380.0,54000.0,54020.0,54020.0,"21,31K"
27/04/2011,54000.0,54000.0,54000.0,54000.0,54000.0,"7,49K"
28/04/2011,54000.0,54000.0,53320.0,53780.0,53780.0,"2,91K"
29/04/2011,53500.0,53500.0,52920.0,53220.0,53220.0,"5,50K"
02/05/2011,53220.0,53220.0,53000.0,53000.0,53000.0,"36,34K"
03/05/2011,53000.0,53000.0,52200.0,52200.0,52200.0,"14,07K"
04/05/2011,52500.0,53000.0,51240.0,53000.0,53000.0,"14,77K"
05/05/2011,52960.0,52980.0,52880.0,52880.0,52880.0,"95,50K"
06/05/2011,52440.0,52440.0,52100.0,52440.0,52440.0,"13,60K"
09/05/2011,51920.0,54000.0,51200.0,53900.0,53900.0,"35,32K"
10/05/2011,51920.0,53900.0,51920.0,53240.0,53240.0,"1,86K"
12/05/2011,54000.0,54000.0,52480.0,53880.0,53880.0,"8,88K"
13/05/2011,53000.0,53000.0,53000.0,53000.0,53000.0,"2,38K"
16/05/2011,53000.0,53000.0,52980.0,53000.0,53000.0,"17,75K"
17/05/2011,53800.0,53800.0,52160.0,52240.0,52240.0,"51,82K"
02/06/2011,52600.0,52620.0,52500.0,52500.0,52500.0,"15,04K"
03/06/2011,52600.0,52760.0,52500.0,52500.0,52500.0,"21,76K"
07/06/2011,52500.0,52500.0,52200.0,52300.0,52300.0,"16,67K"
08/06/2011,52300.0,52520.0,52300.0,52520.0,52520.0,"11,52K"
09/06/2011,52500.0,52740.0,52500.0,52620.0,52620.0,"18,52K"
14/06/2011,53000.0,53000.0,53000.0,53000.0,53000.0,"2,81K"
15/06/2011,53000.0,53800.0,53000.0,53000.0,53000.0,"10,49K"
16/06/2011,52640.0,53500.0,52080.0,52620.0,52620.0,"18,14K"
17/06/2011,52600.0,53380.0,52060.0,53160.0,53160.0,"24,96K"
20/06/2011,53020.0,53020.0,52420.0,52440.0,52440.0,"4,91K"
21/06/2011,52800.0,52820.0,52800.0,52820.0,52820.0,"5,70K"
22/06/2011,52320.0,52500.0,52320.0,52500.0,52500.0,"5,79K"
23/06/2011,52400.0,52520.0,52400.0,52520.0,52520.0,"6,11K"
24/06/2011,53320.0,53580.0,53320.0,53540.0,53540.0,"9,93K"
28/06/2011,53500.0,53500.0,53000.0,53000.0,53000.0,"1,46K"
29/06/2011,53300.0,53300.0,53260.0,53260.0,53260.0,"1,01K"
30/06/2011,53260.0,53260.0,53260.0,53260.0,53260.0,"7,75K"
01/07/2011,53300.0,53300.0,52720.0,52720.0,52720.0,"9,78K"
05/07/2011,52720.0,52800.0,52720.0,52800.0,52800.0,"2,66K"
06/07/2011,52700.0,52700.0,52600.0,52620.0,52620.0,"7,13K"
07/07/2011,52700.0,52900.0,52700.0,52900.0,52900.0,"2,28K"
08/07/2011,52500.0,52880.0,52500.0,52880.0,52880.0,"1,06K"
11/07/2011,52000.0,52580.0,52000.0,52580.0,52580.0,"3,62K"
12/07/2011,52680.0,52680.0,52000.0,52000.0,52000.0,"13,04K"
13/07/2011,52000.0,52480.0,52000.0,52000.0,52000.0,"7,01K"
14/07/2011,53000.0,53000.0,52000.0,52000.0,52000.0,"8,84K"
15/07/2011,52000.0,52000.0,52000.0,52000.0,52000.0,"9,35K"
18/07/2011,51600.0,51600.0,51020.0,51020.0,51020.0,"2,22K"
19/07/2011,52000.0,52000.0,52000.0,52000.0,52000.0,"5,95K"
21/07/2011,52000.0,53000.0,52000.0,53000.0,53000.0,"19,20K"
22/07/2011,53140.0,53140.0,53000.0,53000.0,53000.0,"1,58K"
25/07/2011,52220.0,53000.0,52000.0,52000.0,52000.0,"45,42K"
26/07/2011,51800.0,52000.0,51500.0,52000.0,52000.0,"8,01K"
27/07/2011,51980.0,51980.0,51980.0,51980.0,51980.0,250.0
28/07/2011,52000.0,52000.0,51820.0,51820.0,51820.0,"3,93K"
29/07/2011,51980.0,52000.0,51980.0,51980.0,51980.0,"5,96K"
01/08/2011,51980.0,51980.0,51980.0,51980.0,51980.0,"4,72K"
02/08/2011,51800.0,51820.0,51800.0,51820.0,51820.0,"1,88K"
03/08/2011,51900.0,51900.0,51700.0,51700.0,51700.0,"6,58K"
04/08/2011,51600.0,51600.0,51540.0,51540.0,51540.0,"5,31K"
05/08/2011,50920.0,50920.0,50900.0,50900.0,50900.0,"6,90K"
09/08/2011,50500.0,51600.0,50480.0,51600.0,51600.0,"6,64K"
10/08/2011,51580.0,51580.0,51000.0,51200.0,51200.0,"1,58K"
11/08/2011,51200.0,51200.0,51120.0,51120.0,51120.0,"4,51K"
12/08/2011,51000.0,51000.0,50500.0,50500.0,50500.0,"4,48K"
16/08/2011,51300.0,51300.0,50500.0,51200.0,51200.0,"6,10K"
17/08/2011,51160.0,51180.0,51160.0,51180.0,51180.0,"2,97K"
18/08/2011,51080.0,51080.0,50000.0,50000.0,50000.0,"12,59K"
19/08/2011,49920.0,50100.0,49920.0,50000.0,50000.0,"9,86K"
22/08/2011,50000.0,50000.0,50000.0,50000.0,50000.0,"5,80K"
23/08/2011,49900.0,50000.0,49900.0,50000.0,50000.0,"8,46K"
24/08/2011,50040.0,50040.0,48520.0,48520.0,48520.0,"5,41K"
25/08/2011,49000.0,49000.0,49000.0,49000.0,49000.0,"10,51K"
26/08/2011,48000.0,48940.0,48000.0,48940.0,48940.0,"45,48K"
29/08/2011,49500.0,49500.0,48980.0,48980.0,48980.0,"7,36K"
30/08/2011,49000.0,49000.0,49000.0,49000.0,49000.0,"4,76K"
31/08/2011,48600.0,48800.0,48500.0,48800.0,48800.0,"44,09K"
01/09/2011,48800.0,48880.0,48800.0,48800.0,48800.0,"12,51K"
02/09/2011,48800.0,48900.0,48700.0,48900.0,48900.0,"28,56K"
05/09/2011,48020.0,48020.0,48020.0,48020.0,48020.0,"2,01K"
06/09/2011,48000.0,49000.0,48000.0,49000.0,49000.0,"17,52K"
07/09/2011,49000.0,49000.0,48700.0,48700.0,48700.0,"7,87K"
08/09/2011,48700.0,48800.0,48700.0,48800.0,48800.0,"5,87K"
09/09/2011,48700.0,48700.0,48540.0,48700.0,48700.0,"22,23K"
12/09/2011,48700.0,49980.0,48640.0,49980.0,49980.0,"28,96K"
13/09/2011,49980.0,50500.0,49960.0,50000.0,50000.0,"59,92K"
14/09/2011,50000.0,50000.0,50000.0,50000.0,50000.0,"13,95K"
15/09/2011,50000.0,50000.0,50000.0,50000.0,50000.0,"10,44K"
16/09/2011,50000.0,51000.0,50000.0,51000.0,51000.0,"28,77K"
19/09/2011,50000.0,51000.0,50000.0,50220.0,50220.0,"5,24K"
26/09/2011,48200.0,49840.0,48200.0,48800.0,48800.0,"14,54K"
28/09/2011,49940.0,49940.0,49720.0,49720.0,49720.0,"2,00K"
29/09/2011,49500.0,49980.0,49300.0,49980.0,49980.0,"9,09K"
30/09/2011,49780.0,50000.0,49780.0,50000.0,50000.0,"2,47K"
03/10/2011,49000.0,49940.0,49000.0,49940.0,49940.0,"2,24K"
04/10/2011,49000.0,49400.0,48700.0,49000.0,49000.0,"6,96K"
05/10/2011,49500.0,49700.0,49040.0,49300.0,49300.0,"4,18K"
06/10/2011,49600.0,49600.0,48700.0,48700.0,48700.0,"2,28K"
07/10/2011,48800.0,48840.0,48200.0,48500.0,48500.0,"23,47K"
11/10/2011,49980.0,49980.0,49980.0,49980.0,49980.0,"4,30K"
12/10/2011,49200.0,49200.0,49200.0,49200.0,49200.0,"29,55K"
13/10/2011,50000.0,50000.0,50000.0,50000.0,50000.0,265.0
14/10/2011,50000.0,50000.0,49500.0,49500.0,49500.0,"8,12K"
18/10/2011,49260.0,50000.0,49260.0,50000.0,50000.0,"26,10K"
24/10/2011,49500.0,49540.0,49500.0,49520.0,49520.0,"14,63K"
25/10/2011,49400.0,49400.0,49140.0,49140.0,49140.0,"21,61K"
26/10/2011,49100.0,49420.0,48900.0,49420.0,49420.0,"11,97K"
27/10/2011,49600.0,49700.0,49600.0,49600.0,49600.0,"2,87K"
31/10/2011,49740.0,49740.0,48980.0,49660.0,49660.0,"15,05K"
02/11/2011,48500.0,48500.0,48500.0,48500.0,48500.0,"31,94K"
03/11/2011,49180.0,49200.0,49180.0,49200.0,49200.0,"3,00K"
08/11/2011,49200.0,49200.0,49200.0,49200.0,49200.0,"1,85K"
10/11/2011,48820.0,48820.0,48820.0,48820.0,48820.0,"5,05K"
11/11/2011,48800.0,48960.0,48800.0,48800.0,48800.0,"23,99K"
15/11/2011,48600.0,48600.0,48600.0,48600.0,48600.0,"2,29K"
16/11/2011,48500.0,48500.0,48500.0,48500.0,48500.0,"5,35K"
17/11/2011,48500.0,48500.0,48000.0,48200.0,48200.0,"31,18K"
18/11/2011,48800.0,48800.0,47060.0,48480.0,48480.0,"8,63K"
21/11/2011,48300.0,48300.0,48300.0,48300.0,48300.0,400.0
22/11/2011,48000.0,48600.0,47500.0,48460.0,48460.0,"27,24K"
23/11/2011,47500.0,47500.0,47500.0,47500.0,47500.0,"2,25K"
24/11/2011,47520.0,47520.0,47160.0,47500.0,47500.0,"7,18K"
25/11/2011,47300.0,47300.0,47300.0,47300.0,47300.0,"1,10K"
28/11/2011,47300.0,47520.0,47300.0,47300.0,47300.0,"16,64K"
29/11/2011,47200.0,47300.0,47100.0,47300.0,47300.0,"8,16K"
30/11/2011,47500.0,47720.0,47000.0,47720.0,47720.0,"30,91K"
01/12/2011,47400.0,49000.0,47400.0,49000.0,49000.0,"14,93K"
02/12/2011,48500.0,48500.0,48020.0,48020.0,48020.0,"4,08K"
05/12/2011,48960.0,48960.0,48960.0,48960.0,48960.0,584.0
06/12/2011,48900.0,48900.0,48000.0,48700.0,48700.0,"5,54K"
07/12/2011,48000.0,48000.0,48000.0,48000.0,48000.0,"14,50K"
09/12/2011,48020.0,48020.0,48000.0,48000.0,48000.0,"25,36K"
12/12/2011,48740.0,48740.0,47800.0,47800.0,47800.0,"19,86K"
13/12/2011,48000.0,48100.0,48000.0,48100.0,48100.0,"26,77K"
14/12/2011,47900.0,47900.0,47800.0,47800.0,47800.0,"1,83K"
15/12/2011,48000.0,48000.0,48000.0,48000.0,48000.0,"2,68K"
16/12/2011,48300.0,48300.0,47800.0,47800.0,47800.0,"1,28K"
19/12/2011,48200.0,48500.0,48200.0,48500.0,48500.0,"8,56K"
20/12/2011,47800.0,47800.0,47800.0,47800.0,47800.0,"1,76K"
