Date,Open,High,Low,Close,Adj Close,Volume
19/11/2010,6406.52,6406.52,6233.66,6341.7,6341.7,"913,78K"
22/11/2010,6309.29,6417.32,6298.48,6298.48,6298.48,"391,74K"
23/11/2010,6212.05,6244.46,6093.21,6168.84,6168.84,"405,50K"
24/11/2010,6212.05,6276.88,6212.05,6222.86,6222.86,"613,41K"
25/11/2010,6212.05,6320.09,6212.05,6212.05,6212.05,"246,58K"
26/11/2010,6212.05,6222.86,5995.98,6125.62,6125.62,"325,75K"
29/11/2010,6114.82,6158.04,6050.0,6147.23,6147.23,"197,29K"
30/11/2010,6136.43,6266.07,6136.43,6147.23,6147.23,"605,12K"
01/12/2010,6147.23,6276.88,6147.23,6201.25,6201.25,"506,54K"
02/12/2010,6168.84,6395.71,6158.04,6395.71,6395.71,"311,99K"
03/12/2010,6417.32,6471.34,6384.91,6428.12,6428.12,"476,45K"
06/12/2010,6428.12,6503.75,6428.12,6449.73,6449.73,"825,69K"
07/12/2010,6536.16,6536.16,6449.73,6460.54,6460.54,"354,52K"
09/12/2010,6449.73,6471.34,6406.52,6460.54,6460.54,"123,77K"
10/12/2010,6449.73,6460.54,6363.3,6363.3,6363.3,"214,96K"
13/12/2010,6352.5,6363.3,6266.07,6287.68,6287.68,"379,95K"
14/12/2010,6287.68,6287.68,6168.84,6276.88,6276.88,"766,84K"
15/12/2010,6212.05,6330.89,6201.25,6222.86,6222.86,"381,81K"
16/12/2010,6222.86,6266.07,6168.84,6244.46,6244.46,"263,45K"
17/12/2010,6287.68,6363.3,6266.07,6309.29,6309.29,"1,27M"
20/12/2010,6309.29,6428.12,6266.07,6320.09,6320.09,"471,09K"
21/12/2010,6320.09,6417.32,6287.68,6298.48,6298.48,"236,51K"
22/12/2010,6298.48,6395.71,6298.48,6320.09,6320.09,"488,77K"
23/12/2010,6330.89,6374.11,6309.29,6352.5,6352.5,"330,25K"
24/12/2010,6395.71,6428.12,6341.7,6363.3,6363.3,"213,68K"
27/12/2010,6363.3,6428.12,6352.5,6352.5,6352.5,"671,07K"
28/12/2010,6266.07,6266.07,6266.07,6266.07,6266.07,"348,31K"
29/12/2010,6298.48,6320.09,6233.66,6244.46,6244.46,"91,14K"
30/12/2010,6287.68,6287.68,6158.04,6158.04,6158.04,"174,50K"
03/01/2011,6147.23,6147.23,5941.96,6050.0,6050.0,"194,45K"
04/01/2011,6050.0,6158.04,6039.2,6158.04,6158.04,"175,86K"
05/01/2011,6104.02,6147.23,6082.41,6093.21,6093.21,"86,52K"
06/01/2011,6104.02,6104.02,6050.0,6093.21,6093.21,"20,37K"
07/01/2011,6060.8,6104.02,6060.8,6060.8,6060.8,"40,85K"
11/01/2011,6104.02,6114.82,6028.39,6028.39,6028.39,"103,39K"
12/01/2011,6050.0,6114.82,6050.0,6082.41,6082.41,"229,02K"
13/01/2011,6114.82,6276.88,6104.02,6276.88,6276.88,"389,36K"
14/01/2011,6287.68,6363.3,6266.07,6352.5,6352.5,"419,84K"
17/01/2011,6309.29,6352.5,6298.48,6352.5,6352.5,"97,08K"
18/01/2011,6298.48,6363.3,6298.48,6320.09,6320.09,"240,87K"
19/01/2011,6320.09,6320.09,6190.45,6244.46,6244.46,"265,05K"
20/01/2011,6244.46,6244.46,6071.61,6104.02,6104.02,"171,16K"
21/01/2011,6158.04,6233.66,6147.23,6190.45,6190.45,"205,39K"
24/01/2011,6190.45,6201.25,6147.23,6158.04,6158.04,"309,72K"
25/01/2011,6147.23,6201.25,6147.23,6158.04,6158.04,"435,60K"
26/01/2011,6190.45,6190.45,6147.23,6168.84,6168.84,"298,60K"
27/01/2011,6158.04,6255.27,6158.04,6255.27,6255.27,"266,75K"
28/01/2011,6255.27,6276.88,6179.64,6266.07,6266.07,"229,75K"
31/01/2011,6309.29,6309.29,6255.27,6266.07,6266.07,"171,83K"
01/02/2011,6179.64,6212.05,6006.79,6050.0,6050.0,"642,97K"
02/02/2011,6050.0,6104.02,5974.38,5985.18,5985.18,"418,90K"
03/02/2011,6050.0,6050.0,5931.16,5941.96,5941.96,"182,17K"
04/02/2011,5833.93,5833.93,5617.86,5715.09,5715.09,"779,80K"
07/02/2011,5715.09,5801.52,5563.84,5671.88,5671.88,"655,74K"
08/02/2011,5725.89,5833.93,5628.66,5833.93,5833.93,"179,44K"
09/02/2011,5855.54,5855.54,5585.45,5585.45,5585.45,"425,71K"
10/02/2011,5617.86,5617.86,5563.84,5563.84,5563.84,"43,43K"
11/02/2011,5563.84,5725.89,5563.84,5725.89,5725.89,"167,25K"
14/02/2011,5769.11,5801.52,5725.89,5725.89,5725.89,"278,77K"
15/02/2011,5725.89,5779.91,5628.66,5704.29,5704.29,"199,62K"
16/02/2011,5628.66,5671.88,5574.64,5574.64,5574.64,"440,25K"
17/02/2011,5553.04,5553.04,5455.8,5455.8,5455.8,"290,69K"
18/02/2011,5455.8,5585.45,5401.79,5553.04,5553.04,"2,61M"
21/02/2011,5553.04,5661.07,5553.04,5617.86,5617.86,"377,13K"
22/02/2011,5661.07,5715.09,5617.86,5682.68,5682.68,"575,34K"
23/02/2011,5704.29,5725.89,5617.86,5693.48,5693.48,"434,95K"
24/02/2011,5693.48,5725.89,5661.07,5671.88,5671.88,"445,02K"
25/02/2011,5671.88,5823.12,5671.88,5790.71,5790.71,"740,53K"
28/02/2011,5833.93,5941.96,5779.91,5887.95,5887.95,"532,65K"
01/03/2011,5941.96,5941.96,5877.14,5877.14,5877.14,"190,39K"
02/03/2011,5877.14,5877.14,5736.7,5855.54,5855.54,"242,69K"
03/03/2011,5855.54,5909.55,5779.91,5887.95,5887.95,"169,61K"
04/03/2011,5887.95,5920.36,5855.54,5855.54,5855.54,"95,04K"
07/03/2011,5844.73,5866.34,5769.11,5769.11,5769.11,"205,48K"
08/03/2011,5747.5,5758.3,5682.68,5693.48,5693.48,"103,09K"
09/03/2011,5693.48,5736.7,5671.88,5671.88,5671.88,"213,94K"
10/03/2011,5661.07,5661.07,5650.27,5628.66,5628.66,"341,44K"
11/03/2011,5628.66,5628.66,5520.62,5617.86,5617.86,"530,36K"
15/03/2011,5542.23,5542.23,5542.23,5542.23,5542.23,"522,14K"
