Date,Open,High,Low,Close,Adj Close,Volume
19/11/2010,30200.0,30650.0,29600.0,30650.0,30650.0,"1,56M"
22/11/2010,30700.0,30900.0,29800.0,29800.0,29800.0,"766,25K"
23/11/2010,29000.0,29550.0,28800.0,29450.0,29450.0,"500,44K"
24/11/2010,29800.0,31350.0,29800.0,31350.0,31350.0,"2,21M"
25/11/2010,31400.0,31900.0,30750.0,30900.0,30900.0,"1,89M"
26/11/2010,30900.0,30900.0,30200.0,30400.0,30400.0,"579,09K"
29/11/2010,30550.0,30550.0,30000.0,30350.0,30350.0,"104,05K"
30/11/2010,30000.0,30500.0,30000.0,30100.0,30100.0,"1,42M"
01/12/2010,30200.0,31100.0,30200.0,30500.0,30500.0,"940,64K"
02/12/2010,31100.0,31500.0,30800.0,30900.0,30900.0,"840,75K"
03/12/2010,30900.0,31200.0,30150.0,30550.0,30550.0,"829,58K"
06/12/2010,30500.0,31000.0,30500.0,30600.0,30600.0,"578,62K"
07/12/2010,30700.0,31150.0,30500.0,30500.0,30500.0,"1,05M"
09/12/2010,30500.0,30600.0,30300.0,30400.0,30400.0,"248,94K"
10/12/2010,30400.0,30900.0,30400.0,30750.0,30750.0,"499,60K"
13/12/2010,30950.0,31200.0,30250.0,30400.0,30400.0,"560,75K"
14/12/2010,30350.0,30500.0,29950.0,29950.0,29950.0,"950,64K"
15/12/2010,29550.0,30000.0,29300.0,29350.0,29350.0,"1,52M"
16/12/2010,29350.0,29600.0,28700.0,28900.0,28900.0,"1,26M"
17/12/2010,28800.0,29000.0,28500.0,29000.0,29000.0,"540,44K"
20/12/2010,30300.0,30400.0,29350.0,29500.0,29500.0,"2,94M"
21/12/2010,29500.0,29900.0,29400.0,29400.0,29400.0,"953,79K"
22/12/2010,29500.0,29650.0,29400.0,29500.0,29500.0,"1,04M"
23/12/2010,29650.0,29650.0,29300.0,29500.0,29500.0,"310,27K"
24/12/2010,29400.0,29650.0,29050.0,29300.0,29300.0,"562,84K"
