Date,Open,High,Low,Close,Adj Close,Volume
19/11/2010,33960.0,33960.0,33000.0,33000.0,33000.0,"98,83K"
22/11/2010,33300.0,33580.0,32900.0,33580.0,33580.0,"72,74K"
23/11/2010,33280.0,33280.0,32800.0,32980.0,32980.0,"64,51K"
24/11/2010,33480.0,34000.0,33300.0,33300.0,33300.0,"247,99K"
25/11/2010,33500.0,33520.0,33320.0,33320.0,33320.0,"592,13K"
26/11/2010,33300.0,33300.0,33300.0,33000.0,33000.0,"372,35K"
29/11/2010,32520.0,33000.0,32520.0,32820.0,32820.0,"119,69K"
30/11/2010,32820.0,35500.0,32820.0,35500.0,35500.0,"2,30M"
01/12/2010,35500.0,35900.0,34840.0,34840.0,34840.0,"470,67K"
02/12/2010,35100.0,35200.0,34840.0,35200.0,35200.0,"118,70K"
03/12/2010,35000.0,35300.0,34500.0,34500.0,34500.0,"58,54K"
06/12/2010,35200.0,35500.0,34500.0,34500.0,34500.0,"100,89K"
07/12/2010,34500.0,34920.0,34500.0,34500.0,34500.0,"100,02K"
09/12/2010,34500.0,34500.0,34100.0,34480.0,34480.0,"16,45K"
10/12/2010,34480.0,34960.0,34340.0,34960.0,34960.0,"206,21K"
13/12/2010,34960.0,34960.0,34800.0,34820.0,34820.0,"101,33K"
14/12/2010,34820.0,35360.0,34700.0,35000.0,35000.0,"156,43K"
15/12/2010,34800.0,35000.0,34500.0,34900.0,34900.0,"111,61K"
16/12/2010,34700.0,34800.0,34700.0,34800.0,34800.0,"1,17M"
17/12/2010,34820.0,35180.0,34800.0,35000.0,35000.0,"302,42K"
20/12/2010,35040.0,35300.0,34980.0,35120.0,35120.0,"64,61K"
21/12/2010,35140.0,35980.0,35140.0,35700.0,35700.0,"201,48K"
22/12/2010,35980.0,36000.0,35820.0,36000.0,36000.0,"191,15K"
23/12/2010,35960.0,36500.0,35940.0,36160.0,36160.0,"249,60K"
24/12/2010,36120.0,36500.0,36100.0,36460.0,36460.0,"41,78K"
27/12/2010,36500.0,36500.0,36220.0,36400.0,36400.0,"140,21K"
28/12/2010,36080.0,36080.0,36080.0,36080.0,36080.0,"13,73K"
29/12/2010,36080.0,36080.0,36000.0,36000.0,36000.0,"23,23K"
30/12/2010,35800.0,36000.0,34320.0,34320.0,34320.0,"48,71K"
03/01/2011,34700.0,34700.0,34000.0,34400.0,34400.0,"37,17K"
04/01/2011,34400.0,34800.0,34400.0,34800.0,34800.0,"71,01K"
05/01/2011,34700.0,35000.0,34700.0,34800.0,34800.0,"165,84K"
06/01/2011,34800.0,35060.0,34700.0,34700.0,34700.0,"128,00K"
07/01/2011,34800.0,34800.0,34540.0,34540.0,34540.0,"14,63K"
11/01/2011,34540.0,34940.0,34540.0,34800.0,34800.0,"263,41K"
12/01/2011,35000.0,35580.0,34800.0,34980.0,34980.0,"121,65K"
13/01/2011,35000.0,35380.0,35000.0,35060.0,35060.0,"460,21K"
14/01/2011,35380.0,35440.0,35100.0,35400.0,35400.0,"619,49K"
17/01/2011,35400.0,35420.0,35240.0,35400.0,35400.0,"87,56K"
18/01/2011,35400.0,35700.0,35300.0,35500.0,35500.0,"196,14K"
19/01/2011,35500.0,35500.0,34900.0,34900.0,34900.0,"98,59K"
20/01/2011,35800.0,36000.0,34900.0,34900.0,34900.0,"301,01K"
21/01/2011,35300.0,35300.0,35000.0,35100.0,35100.0,"74,40K"
24/01/2011,35280.0,35280.0,34900.0,35000.0,35000.0,"134,76K"
25/01/2011,35000.0,35200.0,34820.0,34820.0,34820.0,"107,00K"
26/01/2011,35100.0,35100.0,35000.0,35100.0,35100.0,"87,73K"
27/01/2011,35100.0,35240.0,35100.0,35100.0,35100.0,"36,68K"
28/01/2011,35200.0,35200.0,34800.0,35100.0,35100.0,"59,67K"
31/01/2011,34820.0,35260.0,34820.0,35260.0,35260.0,"28,87K"
01/02/2011,35140.0,35400.0,35100.0,35100.0,35100.0,"185,48K"
02/02/2011,35120.0,35340.0,35000.0,35140.0,35140.0,"93,10K"
03/02/2011,35140.0,35300.0,35040.0,35160.0,35160.0,"44,42K"
04/02/2011,35400.0,35400.0,35060.0,35200.0,35200.0,"270,31K"
07/02/2011,35400.0,35400.0,34500.0,34500.0,34500.0,"26,66K"
08/02/2011,34500.0,34980.0,34500.0,34760.0,34760.0,"95,10K"
09/02/2011,34760.0,35180.0,34500.0,34500.0,34500.0,"50,80K"
11/02/2011,34500.0,34900.0,34500.0,34800.0,34800.0,"141,37K"
14/02/2011,35180.0,35180.0,34620.0,34620.0,34620.0,"104,98K"
15/02/2011,35000.0,35060.0,34640.0,34700.0,34700.0,"89,72K"
16/02/2011,34700.0,34840.0,34600.0,34600.0,34600.0,"49,65K"
17/02/2011,34720.0,34820.0,34600.0,34680.0,34680.0,"20,72K"
18/02/2011,34680.0,34780.0,33400.0,33400.0,33400.0,"211,88K"
21/02/2011,33820.0,33840.0,33400.0,33820.0,33820.0,"10,90K"
22/02/2011,33800.0,33840.0,33720.0,33740.0,33740.0,"16,28K"
23/02/2011,33980.0,34000.0,33800.0,34000.0,34000.0,"32,50K"
24/02/2011,34440.0,34600.0,34400.0,34440.0,34440.0,"84,90K"
25/02/2011,34500.0,34600.0,33420.0,33420.0,33420.0,"301,81K"
28/02/2011,33600.0,34540.0,33600.0,34420.0,34420.0,"326,88K"
01/03/2011,34280.0,34900.0,34280.0,34700.0,34700.0,"287,65K"
02/03/2011,34740.0,34920.0,34400.0,34520.0,34520.0,"105,09K"
03/03/2011,34780.0,34880.0,34720.0,34800.0,34800.0,"39,24K"
04/03/2011,34900.0,35000.0,34800.0,35000.0,35000.0,"30,58K"
07/03/2011,34900.0,35000.0,34840.0,35000.0,35000.0,"22,38K"
08/03/2011,35180.0,35180.0,34920.0,35000.0,35000.0,"161,49K"
09/03/2011,34900.0,35140.0,34900.0,35140.0,35140.0,"139,31K"
10/03/2011,35180.0,35200.0,34800.0,35100.0,35100.0,"112,09K"
11/03/2011,35000.0,35080.0,34520.0,35080.0,35080.0,"58,45K"
14/03/2011,35000.0,35320.0,34960.0,35320.0,35320.0,"44,04K"
15/03/2011,35000.0,35000.0,34540.0,34900.0,34900.0,"177,74K"
16/03/2011,35000.0,35000.0,34840.0,34860.0,34860.0,"87,02K"
17/03/2011,34860.0,35640.0,34860.0,34900.0,34900.0,"239,32K"
18/03/2011,35000.0,35260.0,34500.0,34500.0,34500.0,"119,16K"
22/03/2011,34600.0,34980.0,34300.0,34980.0,34980.0,"11,07K"
23/03/2011,34980.0,35000.0,34700.0,35000.0,35000.0,"114,43K"
24/03/2011,34960.0,35080.0,34820.0,35000.0,35000.0,"107,40K"
25/03/2011,35000.0,35080.0,35000.0,35000.0,35000.0,"6,68K"
28/03/2011,35000.0,35000.0,35000.0,35000.0,35000.0,"113,77K"
29/03/2011,34980.0,34980.0,34200.0,34580.0,34580.0,"141,32K"
30/03/2011,34600.0,34680.0,34300.0,34680.0,34680.0,"30,56K"
31/03/2011,34600.0,35300.0,34580.0,35220.0,35220.0,"117,31K"
01/04/2011,34800.0,34800.0,34600.0,34600.0,34600.0,"37,81K"
04/04/2011,34120.0,34560.0,34080.0,34080.0,34080.0,"15,62K"
05/04/2011,33000.0,34080.0,33000.0,34080.0,34080.0,"77,50K"
06/04/2011,33800.0,34000.0,33520.0,34000.0,34000.0,"14,81K"
07/04/2011,34500.0,35000.0,33500.0,34260.0,34260.0,"134,06K"
08/04/2011,34300.0,34300.0,34000.0,34000.0,34000.0,"13,41K"
11/04/2011,34000.0,34100.0,34000.0,34100.0,34100.0,"41,46K"
12/04/2011,34100.0,34380.0,33900.0,34380.0,34380.0,"1,84K"
13/04/2011,33700.0,34300.0,33700.0,34080.0,34080.0,"12,32K"
14/04/2011,34000.0,34500.0,33400.0,33980.0,33980.0,"38,19K"
15/04/2011,33980.0,34100.0,33980.0,33980.0,33980.0,"16,01K"
18/04/2011,33980.0,34000.0,33980.0,34000.0,34000.0,941.0
19/04/2011,34000.0,34000.0,33500.0,33500.0,33500.0,"17,58K"
20/04/2011,33980.0,34000.0,33600.0,34000.0,34000.0,"5,80K"
25/04/2011,34000.0,34000.0,33500.0,33980.0,33980.0,"11,71K"
26/04/2011,33600.0,34200.0,33600.0,34000.0,34000.0,"82,26K"
27/04/2011,33800.0,34000.0,33740.0,34000.0,34000.0,"10,99K"
28/04/2011,34100.0,34200.0,33740.0,34000.0,34000.0,"87,59K"
29/04/2011,33760.0,34100.0,33760.0,34100.0,34100.0,"47,22K"
02/05/2011,34000.0,34000.0,33920.0,33920.0,33920.0,"62,03K"
03/05/2011,33900.0,33940.0,33620.0,33940.0,33940.0,"25,50K"
04/05/2011,33980.0,34180.0,33960.0,34000.0,34000.0,"37,96K"
05/05/2011,34000.0,34000.0,33700.0,33720.0,33720.0,"29,16K"
06/05/2011,34000.0,34000.0,33620.0,33680.0,33680.0,"66,59K"
09/05/2011,33500.0,33860.0,33500.0,33500.0,33500.0,"61,79K"
10/05/2011,33800.0,34100.0,33800.0,33900.0,33900.0,"76,98K"
11/05/2011,33780.0,33880.0,33500.0,33880.0,33880.0,"27,36K"
12/05/2011,33880.0,34000.0,33880.0,33880.0,33880.0,"40,63K"
13/05/2011,33840.0,34000.0,33800.0,33880.0,33880.0,"38,88K"
16/05/2011,33940.0,33960.0,33760.0,33760.0,33760.0,"17,94K"
17/05/2011,33800.0,33960.0,33780.0,33960.0,33960.0,"67,09K"
02/06/2011,34000.0,34500.0,33920.0,34500.0,34500.0,"32,55K"
03/06/2011,34000.0,34100.0,33920.0,34040.0,34040.0,"31,71K"
07/06/2011,34000.0,34180.0,33960.0,34060.0,34060.0,"31,69K"
08/06/2011,33980.0,34380.0,33980.0,34380.0,34380.0,"52,41K"
09/06/2011,34580.0,34580.0,34000.0,34020.0,34020.0,"81,68K"
14/06/2011,34100.0,34100.0,33920.0,34080.0,34080.0,"35,76K"
15/06/2011,34000.0,34080.0,33900.0,34080.0,34080.0,"62,62K"
16/06/2011,34000.0,34000.0,33900.0,34000.0,34000.0,"22,73K"
17/06/2011,34000.0,34020.0,34000.0,34020.0,34020.0,"34,25K"
20/06/2011,33860.0,33880.0,33800.0,33800.0,33800.0,"13,76K"
21/06/2011,34000.0,34000.0,34000.0,34000.0,34000.0,"8,47K"
22/06/2011,33900.0,33980.0,33840.0,33980.0,33980.0,"10,29K"
23/06/2011,33800.0,34000.0,33700.0,34000.0,34000.0,"37,97K"
24/06/2011,34080.0,34080.0,33800.0,33800.0,33800.0,"15,42K"
28/06/2011,33820.0,34000.0,33820.0,34000.0,34000.0,"4,68K"
29/06/2011,34000.0,34000.0,33920.0,34000.0,34000.0,"19,91K"
30/06/2011,33820.0,34000.0,33820.0,34000.0,34000.0,"14,79K"
01/07/2011,34000.0,34300.0,34000.0,34300.0,34300.0,"16,41K"
05/07/2011,34020.0,34060.0,33960.0,34060.0,34060.0,"28,50K"
06/07/2011,33900.0,33900.0,33480.0,33480.0,33480.0,"34,23K"
07/07/2011,33600.0,33600.0,33500.0,33500.0,33500.0,"13,24K"
08/07/2011,33360.0,33520.0,33300.0,33500.0,33500.0,"47,20K"
11/07/2011,33500.0,33500.0,33000.0,33400.0,33400.0,"24,25K"
12/07/2011,33860.0,33860.0,32260.0,32260.0,32260.0,"65,70K"
13/07/2011,32260.0,33260.0,32260.0,32900.0,32900.0,"76,30K"
14/07/2011,32600.0,32800.0,32520.0,32520.0,32520.0,"34,21K"
