Date,Open,High,Low,Close,Adj Close,Volume
19/11/2010,4280.0,4300.0,4050.0,4090.0,4090.0,"32,59M"
22/11/2010,4215.0,4215.0,4065.0,4100.0,4100.0,"12,79M"
23/11/2010,4005.0,4020.0,4005.0,4015.0,4015.0,"235,12K"
24/11/2010,4130.0,4140.0,4130.0,4115.0,4115.0,"9,96M"
25/11/2010,4130.0,4170.0,4005.0,4020.0,4020.0,"9,44M"
26/11/2010,4005.0,4005.0,3800.0,3935.0,3935.0,"18,50M"
29/11/2010,3920.0,3970.0,3765.0,3795.0,3795.0,"20,03M"
30/11/2010,3780.0,3840.0,3725.0,3840.0,3840.0,"11,71M"
01/12/2010,3850.0,3930.0,3840.0,3855.0,3855.0,"15,53M"
02/12/2010,3900.0,4000.0,3875.0,3990.0,3990.0,"13,63M"
03/12/2010,3970.0,4060.0,3950.0,4020.0,4020.0,"10,70M"
06/12/2010,4000.0,4055.0,3990.0,4045.0,4045.0,"6,08M"
07/12/2010,4060.0,4140.0,4060.0,4085.0,4085.0,"13,64M"
09/12/2010,4085.0,4120.0,4045.0,4080.0,4080.0,"6,60M"
10/12/2010,4090.0,4105.0,4065.0,4070.0,4070.0,"5,97M"
13/12/2010,4095.0,4130.0,4075.0,4125.0,4125.0,"7,59M"
14/12/2010,4125.0,4200.0,4125.0,4190.0,4190.0,"9,08M"
15/12/2010,4190.0,4190.0,4100.0,4100.0,4100.0,"6,40M"
16/12/2010,4095.0,4100.0,4030.0,4085.0,4085.0,"7,89M"
17/12/2010,4095.0,4095.0,4015.0,4020.0,4020.0,"12,30M"
20/12/2010,4015.0,4035.0,3985.0,4010.0,4010.0,"9,23M"
21/12/2010,4010.0,4050.0,3985.0,4050.0,4050.0,"7,06M"
22/12/2010,4025.0,4095.0,4025.0,4095.0,4095.0,"7,82M"
23/12/2010,4095.0,4115.0,4070.0,4100.0,4100.0,"30,66M"
24/12/2010,4100.0,4105.0,4080.0,4105.0,4105.0,"2,17M"
27/12/2010,4100.0,4190.0,4100.0,4170.0,4170.0,"12,71M"
28/12/2010,4140.0,4140.0,4105.0,4115.0,4115.0,"14,22M"
29/12/2010,4130.0,4155.0,4105.0,4120.0,4120.0,"4,16M"
30/12/2010,4100.0,4110.0,4025.0,4100.0,4100.0,"4,82M"
03/01/2011,4100.0,4100.0,3975.0,4000.0,4000.0,"4,42M"
04/01/2011,4000.0,4000.0,3935.0,4000.0,4000.0,"3,32M"
05/01/2011,3990.0,3990.0,3885.0,3885.0,3885.0,"3,32M"
06/01/2011,3880.0,3880.0,3805.0,3805.0,3805.0,"3,59M"
07/01/2011,3805.0,3850.0,3800.0,3835.0,3835.0,"5,62M"
11/01/2011,3885.0,3885.0,3825.0,3840.0,3840.0,"4,86M"
12/01/2011,3840.0,3960.0,3840.0,3945.0,3945.0,"9,15M"
13/01/2011,3940.0,4040.0,3940.0,4040.0,4040.0,"8,09M"
14/01/2011,4030.0,4085.0,4000.0,4015.0,4015.0,"5,29M"
17/01/2011,4015.0,4050.0,4005.0,4050.0,4050.0,"2,34M"
18/01/2011,4050.0,4075.0,4025.0,4040.0,4040.0,"4,38M"
19/01/2011,4040.0,4065.0,3990.0,4005.0,4005.0,"5,91M"
20/01/2011,4000.0,4000.0,3910.0,3920.0,3920.0,"4,65M"
21/01/2011,3925.0,3970.0,3920.0,3925.0,3925.0,"4,34M"
24/01/2011,3910.0,3940.0,3860.0,3940.0,3940.0,"2,29M"
25/01/2011,3940.0,3940.0,3850.0,3860.0,3860.0,"3,49M"
26/01/2011,3880.0,3960.0,3875.0,3940.0,3940.0,"5,67M"
27/01/2011,3970.0,4000.0,3925.0,3930.0,3930.0,"4,80M"
28/01/2011,3945.0,3965.0,3925.0,3965.0,3965.0,"2,99M"
31/01/2011,3965.0,4010.0,3960.0,3985.0,3985.0,"6,11M"
01/02/2011,3970.0,4045.0,3970.0,3970.0,3970.0,"8,43M"
02/02/2011,4000.0,4000.0,3960.0,3960.0,3960.0,"2,03M"
03/02/2011,3960.0,3975.0,3920.0,3925.0,3925.0,"3,49M"
04/02/2011,3910.0,3910.0,3890.0,3915.0,3915.0,"5,30M"
07/02/2011,3910.0,3930.0,3870.0,3930.0,3930.0,"4,66M"
08/02/2011,3900.0,3990.0,3900.0,3990.0,3990.0,"6,08M"
09/02/2011,3990.0,3990.0,3940.0,3970.0,3970.0,"5,92M"
10/02/2011,3955.0,3970.0,3935.0,3945.0,3945.0,"380,00K"
11/02/2011,3910.0,3930.0,3895.0,3900.0,3900.0,"3,00M"
14/02/2011,3900.0,3915.0,3890.0,3900.0,3900.0,"3,55M"
15/02/2011,3915.0,3950.0,3900.0,3905.0,3905.0,"2,85M"
16/02/2011,3905.0,3935.0,3905.0,3920.0,3920.0,"4,46M"
17/02/2011,3915.0,3925.0,3840.0,3840.0,3840.0,"5,90M"
18/02/2011,3840.0,3855.0,3735.0,3750.0,3750.0,"6,65M"
21/02/2011,3760.0,3800.0,3750.0,3800.0,3800.0,"2,11M"
22/02/2011,3800.0,3815.0,3760.0,3760.0,3760.0,"2,63M"
23/02/2011,3780.0,3855.0,3760.0,3850.0,3850.0,"8,45M"
24/02/2011,3910.0,3985.0,3910.0,3935.0,3935.0,"18,70M"
25/02/2011,3920.0,3965.0,3915.0,3955.0,3955.0,"8,49M"
28/02/2011,3955.0,3980.0,3955.0,3960.0,3960.0,"4,00M"
01/03/2011,3980.0,4020.0,3975.0,3985.0,3985.0,"15,72M"
02/03/2011,3985.0,4010.0,3955.0,3955.0,3955.0,"3,61M"
03/03/2011,3960.0,4000.0,3945.0,4000.0,4000.0,"6,21M"
04/03/2011,4000.0,4065.0,3980.0,4060.0,4060.0,"17,35M"
07/03/2011,4070.0,4110.0,4050.0,4055.0,4055.0,"11,41M"
08/03/2011,4055.0,4055.0,3970.0,3975.0,3975.0,"8,44M"
09/03/2011,3975.0,3995.0,3960.0,3995.0,3995.0,"3,65M"
10/03/2011,3975.0,3975.0,3945.0,3900.0,3900.0,"8,06M"
11/03/2011,3900.0,3935.0,3845.0,3895.0,3895.0,"6,01M"
14/03/2011,3855.0,3895.0,3850.0,3890.0,3890.0,"4,70M"
15/03/2011,3855.0,3855.0,3765.0,3815.0,3815.0,"5,21M"
16/03/2011,3810.0,3965.0,3735.0,3780.0,3780.0,"5,76M"
17/03/2011,3795.0,3940.0,3795.0,3830.0,3830.0,"4,88M"
18/03/2011,3870.0,3875.0,3780.0,3825.0,3825.0,"6,85M"
22/03/2011,3825.0,3835.0,3785.0,3815.0,3815.0,"2,61M"
23/03/2011,3835.0,3905.0,3825.0,3905.0,3905.0,"6,13M"
24/03/2011,3910.0,3945.0,3850.0,3850.0,3850.0,"7,38M"
25/03/2011,3840.0,3865.0,3790.0,3810.0,3810.0,"3,34M"
28/03/2011,3820.0,3915.0,3820.0,3915.0,3915.0,"7,04M"
29/03/2011,3895.0,3900.0,3840.0,3875.0,3875.0,"4,27M"
30/03/2011,3875.0,3880.0,3850.0,3880.0,3880.0,"3,02M"
31/03/2011,3890.0,3915.0,3870.0,3885.0,3885.0,"4,22M"
01/04/2011,3895.0,3900.0,3840.0,3865.0,3865.0,"3,86M"
04/04/2011,3860.0,3890.0,3845.0,3880.0,3880.0,"7,96M"
05/04/2011,3900.0,3915.0,3870.0,3895.0,3895.0,"7,16M"
06/04/2011,3900.0,3920.0,3860.0,3865.0,3865.0,"4,85M"
07/04/2011,3860.0,3860.0,3790.0,3810.0,3810.0,"3,56M"
08/04/2011,3795.0,3810.0,3765.0,3765.0,3765.0,"2,09M"
11/04/2011,3750.0,3765.0,3680.0,3700.0,3700.0,"5,73M"
12/04/2011,3680.0,3680.0,3610.0,3625.0,3625.0,"1,95M"
13/04/2011,3650.0,3700.0,3650.0,3690.0,3690.0,"4,77M"
14/04/2011,3680.0,3685.0,3640.0,3665.0,3665.0,"3,35M"
15/04/2011,3660.0,3670.0,3640.0,3670.0,3670.0,"3,08M"
18/04/2011,3650.0,3650.0,3585.0,3605.0,3605.0,"2,17M"
19/04/2011,3605.0,3670.0,3585.0,3670.0,3670.0,"1,75M"
20/04/2011,3670.0,3730.0,3670.0,3730.0,3730.0,"1,43M"
25/04/2011,3750.0,3800.0,3730.0,3765.0,3765.0,"3,22M"
26/04/2011,3790.0,3815.0,3780.0,3800.0,3800.0,"5,20M"
27/04/2011,3795.0,3815.0,3795.0,3800.0,3800.0,"3,15M"
28/04/2011,3820.0,3850.0,3800.0,3850.0,3850.0,"3,63M"
29/04/2011,3850.0,3870.0,3800.0,3800.0,3800.0,"4,11M"
02/05/2011,3840.0,3880.0,3810.0,3840.0,3840.0,"3,55M"
03/05/2011,3805.0,3815.0,3765.0,3795.0,3795.0,"3,49M"
04/05/2011,3795.0,3800.0,3710.0,3800.0,3800.0,"5,17M"
05/05/2011,3810.0,3830.0,3720.0,3720.0,3720.0,"7,64M"
