Date,Open,High,Low,Close,Adj Close,Volume
04/01/2010,1199.6,1199.8,1199.6,1199.8,1199.8,"151,40K"
05/01/2010,1200.0,1210.2,1200.0,1210.2,1210.2,"374,40K"
06/01/2010,1230.0,1250.0,1230.0,1250.0,1250.0,"924,70K"
07/01/2010,1290.0,1300.0,1290.0,1300.0,1300.0,"1,20M"
08/01/2010,1290.0,1290.0,1270.0,1270.0,1270.0,"590,80K"
12/01/2010,1271.2,1271.2,1230.0,1230.0,1230.0,"1,89M"
13/01/2010,1240.0,1240.0,1219.6,1219.6,1219.6,"965,90K"
14/01/2010,1217.0,1259.4,1217.0,1259.4,1259.4,"341,00K"
15/01/2010,1265.0,1285.0,1240.0,1240.4,1240.4,"14,20M"
18/01/2010,1246.2,1273.8,1240.0,1240.0,1240.0,"3,24M"
19/01/2010,1260.0,1260.0,1258.0,1258.0,1258.0,"70,70K"
20/01/2010,1259.8,1259.8,1240.2,1241.2,1241.2,"583,10K"
21/01/2010,1241.0,1241.0,1220.0,1220.0,1220.0,"787,20K"
22/01/2010,1220.0,1220.0,1219.8,1220.0,1220.0,"862,80K"
25/01/2010,1220.0,1220.0,1180.2,1180.2,1180.2,0.0
26/01/2010,1190.0,1198.6,1150.0,1190.0,1190.0,"2,19M"
27/01/2010,1190.0,1199.6,1190.0,1192.0,1192.0,"549,00K"
28/01/2010,1200.0,1209.4,1200.0,1204.8,1204.8,"93,70K"
29/01/2010,1200.0,1200.0,1198.0,1199.0,1199.0,"693,90K"
01/02/2010,1214.8,1214.8,1192.2,1192.2,1192.2,"438,70K"
02/02/2010,1190.2,1198.8,1190.2,1198.0,1198.0,"238,30K"
03/02/2010,1198.2,1198.2,1190.0,1190.0,1190.0,"498,20K"
04/02/2010,1192.0,1197.6,1180.0,1180.0,1180.0,"271,60K"
05/02/2010,1180.0,1180.0,1165.0,1165.2,1165.2,"2,28M"
08/02/2010,1154.0,1178.2,1154.0,1165.4,1165.4,"226,70K"
09/02/2010,1185.0,1185.0,1185.0,1185.0,1185.0,0.0
10/02/2010,1188.0,1208.8,1185.0,1208.8,1208.8,0.0
11/02/2010,1208.6,1208.6,1185.6,1207.8,1207.8,0.0
12/02/2010,1200.0,1205.0,1200.0,1200.0,1200.0,0.0
15/02/2010,1200.0,1208.8,1200.0,1200.2,1200.2,0.0
16/02/2010,1200.4,1219.8,1200.4,1219.8,1219.8,0.0
17/02/2010,1220.0,1235.0,1219.0,1220.0,1220.0,0.0
18/02/2010,1202.0,1220.0,1202.0,1220.0,1220.0,0.0
19/02/2010,1220.0,1224.6,1220.0,1224.6,1224.6,0.0
22/02/2010,1224.8,1238.0,1224.8,1230.0,1230.0,0.0
23/02/2010,1230.0,1240.0,1230.0,1240.0,1240.0,0.0
24/02/2010,1240.0,1240.0,1235.0,1235.2,1235.2,0.0
25/02/2010,1235.2,1237.6,1200.0,1200.0,1200.0,0.0
26/02/2010,1205.0,1234.0,1205.0,1234.0,1234.0,0.0
01/03/2010,1234.0,1240.0,1230.0,1230.2,1230.2,"833,00K"
02/03/2010,1230.0,1235.0,1230.0,1235.0,1235.0,"196,40K"
03/03/2010,1240.0,1250.0,1235.6,1250.0,1250.0,"2,69M"
04/03/2010,1255.0,1270.0,1230.0,1230.4,1230.4,"6,64M"
05/03/2010,1235.0,1235.0,1232.0,1232.0,1232.0,"240,60K"
08/03/2010,1230.0,1231.2,1228.0,1230.0,1230.0,"534,80K"
09/03/2010,1230.0,1235.0,1226.0,1226.0,1226.0,"556,80K"
10/03/2010,1227.0,1229.0,1225.0,1229.0,1229.0,"524,80K"
11/03/2010,1222.0,1222.0,1200.0,1200.0,1200.0,"1,34M"
12/03/2010,1196.2,1219.8,1190.0,1200.6,1200.6,"200,50K"
15/03/2010,1211.0,1212.0,1211.0,1212.0,1212.0,"64,40K"
16/03/2010,1211.0,1225.0,1211.0,1225.0,1225.0,"274,50K"
17/03/2010,1225.0,1232.4,1225.0,1232.4,1232.4,"780,40K"
18/03/2010,1239.8,1243.0,1238.6,1244.0,1244.0,"2,00M"
19/03/2010,1245.0,1245.0,1240.0,1240.0,1240.0,"232,70K"
23/03/2010,1240.0,1250.0,1239.8,1245.0,1245.0,"275,00K"
24/03/2010,1230.0,1250.0,1230.0,1240.0,1240.0,"1,35M"
25/03/2010,1240.0,1245.0,1240.0,1240.0,1240.0,"481,90K"
26/03/2010,1242.0,1245.0,1240.0,1240.0,1240.0,"112,80K"
29/03/2010,1240.0,1245.0,1240.0,1245.0,1245.0,"29,30K"
30/03/2010,1250.0,1250.0,1241.0,1249.8,1249.8,"220,90K"
31/03/2010,1250.0,1250.0,1250.0,1250.0,1250.0,"186,50K"
05/04/2010,1242.0,1258.0,1242.0,1258.0,1258.0,"1,43M"
06/04/2010,1258.0,1258.2,1257.0,1257.0,1257.0,"383,90K"
07/04/2010,1257.0,1258.0,1244.0,1244.2,1244.2,"2,76M"
08/04/2010,1253.4,1253.8,1253.4,1253.8,1253.8,"376,70K"
09/04/2010,1253.8,1256.0,1250.0,1255.0,1255.0,"993,60K"
12/04/2010,1255.0,1255.0,1250.2,1250.2,1250.2,"165,20K"
13/04/2010,1250.0,1255.0,1246.2,1246.2,1246.2,"323,50K"
14/04/2010,1246.4,1248.0,1246.0,1248.0,1248.0,"453,10K"
15/04/2010,1245.0,1250.0,1245.0,1250.0,1250.0,"146,50K"
16/04/2010,1248.0,1254.6,1245.0,1248.2,1248.2,"336,60K"
19/04/2010,1249.0,1250.0,1248.0,1250.0,1250.0,"352,80K"
20/04/2010,1250.0,1253.6,1250.0,1253.6,1253.6,"1,98M"
21/04/2010,1250.2,1254.8,1250.0,1253.6,1253.6,0.0
22/04/2010,1253.6,1265.0,1253.0,1265.0,1265.0,"587,80K"
23/04/2010,1280.2,1300.0,1260.0,1295.0,1295.0,"2,68M"
26/04/2010,1300.0,1305.0,1293.8,1295.0,1295.0,"4,19M"
27/04/2010,1295.0,1295.0,1270.0,1275.0,1275.0,"1,96M"
