Date,Open,High,Low,Close,Adj Close,Volume
19/11/2010,23500.0,23500.0,23000.0,23000.0,23000.0,"33,25K"
22/11/2010,23000.0,23520.0,23000.0,23520.0,23520.0,"27,85K"
23/11/2010,23000.0,23000.0,22640.0,22640.0,22640.0,"6,92K"
24/11/2010,23000.0,23400.0,23000.0,22860.0,22860.0,"314,11K"
25/11/2010,23000.0,23200.0,22960.0,22960.0,22960.0,"114,81K"
26/11/2010,22640.0,23000.0,22640.0,23000.0,23000.0,"12,10K"
29/11/2010,23000.0,23300.0,23000.0,23300.0,23300.0,"50,43K"
30/11/2010,23200.0,23860.0,23200.0,23800.0,23800.0,"196,14K"
01/12/2010,23780.0,23920.0,23000.0,23460.0,23460.0,"257,03K"
02/12/2010,23320.0,23800.0,23320.0,23600.0,23600.0,"122,20K"
03/12/2010,23520.0,23900.0,23520.0,23700.0,23700.0,"158,66K"
06/12/2010,23800.0,23800.0,23700.0,23800.0,23800.0,"94,98K"
07/12/2010,23820.0,23900.0,23740.0,23800.0,23800.0,"775,61K"
09/12/2010,23700.0,23820.0,23700.0,23820.0,23820.0,"164,43K"
10/12/2010,23700.0,23760.0,23580.0,23720.0,23720.0,"121,68K"
13/12/2010,23720.0,23880.0,23720.0,23860.0,23860.0,"110,51K"
14/12/2010,23860.0,23920.0,23800.0,23800.0,23800.0,"211,96K"
15/12/2010,23100.0,23760.0,23100.0,23720.0,23720.0,"114,83K"
16/12/2010,23200.0,23700.0,23200.0,23560.0,23560.0,"10,82K"
17/12/2010,23680.0,23800.0,23660.0,23800.0,23800.0,"288,39K"
20/12/2010,23780.0,23880.0,23760.0,23780.0,23780.0,"141,06K"
21/12/2010,23800.0,23820.0,23680.0,23680.0,23680.0,"168,25K"
22/12/2010,23600.0,23800.0,23600.0,23780.0,23780.0,"274,15K"
23/12/2010,23620.0,23960.0,23620.0,23960.0,23960.0,"371,88K"
24/12/2010,23960.0,24000.0,23780.0,23780.0,23780.0,"56,70K"
27/12/2010,23920.0,23960.0,23800.0,23800.0,23800.0,"410,35K"
28/12/2010,23800.0,23800.0,23800.0,23800.0,23800.0,"107,78K"
29/12/2010,23800.0,23820.0,23780.0,23780.0,23780.0,"170,39K"
30/12/2010,23400.0,23840.0,23360.0,23360.0,23360.0,"46,41K"
03/01/2011,23200.0,23200.0,22800.0,22900.0,22900.0,"30,09K"
04/01/2011,22820.0,23300.0,22460.0,23300.0,23300.0,"51,92K"
05/01/2011,23200.0,23600.0,23000.0,23300.0,23300.0,"73,50K"
06/01/2011,23000.0,23240.0,23000.0,23000.0,23000.0,"21,90K"
07/01/2011,23200.0,23200.0,23000.0,23000.0,23000.0,"7,97K"
11/01/2011,23080.0,23700.0,23080.0,23320.0,23320.0,"17,89K"
12/01/2011,23200.0,23500.0,23200.0,23500.0,23500.0,"103,91K"
13/01/2011,23680.0,23780.0,23540.0,23760.0,23760.0,"205,81K"
14/01/2011,23800.0,23820.0,23640.0,23780.0,23780.0,"677,57K"
17/01/2011,23780.0,23800.0,23500.0,23780.0,23780.0,"35,64K"
18/01/2011,23800.0,23840.0,23640.0,23840.0,23840.0,"278,98K"
19/01/2011,23820.0,23900.0,23520.0,23520.0,23520.0,"227,13K"
20/01/2011,23380.0,23420.0,22640.0,22800.0,22800.0,"101,80K"
21/01/2011,23100.0,23400.0,23100.0,23300.0,23300.0,"298,53K"
24/01/2011,23240.0,23480.0,23240.0,23480.0,23480.0,"16,47K"
25/01/2011,23600.0,23600.0,23400.0,23400.0,23400.0,"132,50K"
26/01/2011,23400.0,23420.0,23160.0,23160.0,23160.0,"53,94K"
27/01/2011,23120.0,23500.0,23120.0,23500.0,23500.0,"304,84K"
