Date,Open,High,Low,Close,Adj Close,Volume
19/11/2010,1400.0,1400.0,1355.0,1380.0,1380.0,"385,48K"
22/11/2010,1365.0,1365.0,1350.0,1350.0,1350.0,"53,88K"
23/11/2010,1335.0,1375.0,1335.0,1375.0,1375.0,"674,78K"
24/11/2010,1380.0,1410.0,1380.0,1395.0,1395.0,"1,39M"
25/11/2010,1425.0,1445.0,1390.0,1400.0,1400.0,"469,77K"
26/11/2010,1385.0,1390.0,1360.0,1365.0,1365.0,"258,33K"
29/11/2010,1350.0,1375.0,1330.0,1350.0,1350.0,"343,50K"
30/11/2010,1320.0,1365.0,1320.0,1355.0,1355.0,"476,12K"
01/12/2010,1395.0,1420.0,1385.0,1410.0,1410.0,"1,06M"
02/12/2010,1410.0,1470.0,1405.0,1455.0,1455.0,"1,83M"
03/12/2010,1440.0,1490.0,1440.0,1465.0,1465.0,"1,29M"
06/12/2010,1475.0,1500.0,1460.0,1480.0,1480.0,"473,32K"
07/12/2010,1480.0,1505.0,1460.0,1485.0,1485.0,"2,10M"
09/12/2010,1485.0,1485.0,1465.0,1470.0,1470.0,"551,21K"
10/12/2010,1470.0,1475.0,1460.0,1470.0,1470.0,"263,33K"
13/12/2010,1495.0,1495.0,1470.0,1470.0,1470.0,"511,12K"
14/12/2010,1465.0,1490.0,1460.0,1490.0,1490.0,"790,19K"
15/12/2010,1480.0,1505.0,1475.0,1490.0,1490.0,"4,78M"
16/12/2010,1485.0,1500.0,1475.0,1500.0,1500.0,"37,49M"
17/12/2010,1495.0,1530.0,1490.0,1520.0,1520.0,"2,88M"
20/12/2010,1510.0,1535.0,1510.0,1530.0,1530.0,"1,98M"
21/12/2010,1525.0,1570.0,1520.0,1555.0,1555.0,"3,16M"
22/12/2010,1560.0,1620.0,1560.0,1600.0,1600.0,"6,62M"
23/12/2010,1600.0,1655.0,1600.0,1645.0,1645.0,"5,47M"
24/12/2010,1635.0,1700.0,1635.0,1700.0,1700.0,"1,79M"
27/12/2010,1700.0,1785.0,1700.0,1770.0,1770.0,"2,82M"
28/12/2010,1710.0,1710.0,1710.0,1700.0,1700.0,"1,01M"
29/12/2010,1695.0,1725.0,1695.0,1710.0,1710.0,"421,56K"
30/12/2010,1700.0,1745.0,1670.0,1700.0,1700.0,"711,23K"
03/01/2011,1700.0,1720.0,1660.0,1680.0,1680.0,"912,41K"
04/01/2011,1670.0,1690.0,1625.0,1650.0,1650.0,"209,31K"
05/01/2011,1640.0,1650.0,1620.0,1635.0,1635.0,"480,79K"
06/01/2011,1630.0,1630.0,1615.0,1630.0,1630.0,"200,57K"
07/01/2011,1620.0,1635.0,1610.0,1620.0,1620.0,"274,09K"
11/01/2011,1650.0,1650.0,1610.0,1620.0,1620.0,"503,41K"
12/01/2011,1640.0,1670.0,1610.0,1650.0,1650.0,"1,55M"
13/01/2011,1650.0,1710.0,1650.0,1705.0,1705.0,"2,93M"
14/01/2011,1700.0,1760.0,1680.0,1705.0,1705.0,"2,85M"
17/01/2011,1705.0,1720.0,1680.0,1680.0,1680.0,"1,29M"
18/01/2011,1695.0,1715.0,1680.0,1715.0,1715.0,"1,62M"
19/01/2011,1690.0,1710.0,1680.0,1700.0,1700.0,"715,94K"
20/01/2011,1705.0,1705.0,1655.0,1670.0,1670.0,"677,40K"
21/01/2011,1675.0,1690.0,1670.0,1690.0,1690.0,"873,13K"
24/01/2011,1670.0,1700.0,1670.0,1690.0,1690.0,"240,13K"
25/01/2011,1680.0,1680.0,1650.0,1660.0,1660.0,"992,00K"
26/01/2011,1645.0,1675.0,1630.0,1670.0,1670.0,"2,08M"
27/01/2011,1650.0,1680.0,1650.0,1650.0,1650.0,"185,84K"
28/01/2011,1670.0,1670.0,1645.0,1650.0,1650.0,"620,22K"
31/01/2011,1650.0,1670.0,1650.0,1670.0,1670.0,"333,14K"
01/02/2011,1630.0,1650.0,1600.0,1620.0,1620.0,"1,58M"
02/02/2011,1630.0,1645.0,1600.0,1640.0,1640.0,"1,37M"
03/02/2011,1615.0,1640.0,1615.0,1625.0,1625.0,"114,50K"
04/02/2011,1610.0,1610.0,1600.0,1600.0,1600.0,"642,09K"
07/02/2011,1575.0,1585.0,1545.0,1545.0,1545.0,"540,39K"
08/02/2011,1515.0,1550.0,1515.0,1535.0,1535.0,"1,66M"
09/02/2011,1535.0,1570.0,1525.0,1525.0,1525.0,"684,67K"
10/02/2011,1515.0,1515.0,1510.0,1515.0,1515.0,"35,79K"
11/02/2011,1485.0,1535.0,1485.0,1515.0,1515.0,"846,11K"
14/02/2011,1515.0,1550.0,1500.0,1525.0,1525.0,"544,91K"
15/02/2011,1535.0,1545.0,1530.0,1535.0,1535.0,"262,76K"
16/02/2011,1540.0,1545.0,1510.0,1545.0,1545.0,"446,37K"
17/02/2011,1545.0,1545.0,1520.0,1535.0,1535.0,"208,51K"
18/02/2011,1530.0,1530.0,1490.0,1490.0,1490.0,"1,47M"
21/02/2011,1490.0,1500.0,1475.0,1485.0,1485.0,"144,66K"
22/02/2011,1480.0,1490.0,1480.0,1490.0,1490.0,"217,36K"
23/02/2011,1480.0,1520.0,1480.0,1510.0,1510.0,"344,35K"
24/02/2011,1520.0,1535.0,1515.0,1520.0,1520.0,"781,65K"
25/02/2011,1520.0,1535.0,1505.0,1535.0,1535.0,"441,07K"
28/02/2011,1540.0,1590.0,1540.0,1575.0,1575.0,"1,98M"
01/03/2011,1575.0,1595.0,1575.0,1585.0,1585.0,"1,06M"
02/03/2011,1585.0,1585.0,1555.0,1570.0,1570.0,"725,76K"
03/03/2011,1575.0,1595.0,1570.0,1590.0,1590.0,"334,55K"
04/03/2011,1595.0,1595.0,1580.0,1590.0,1590.0,"445,80K"
07/03/2011,1595.0,1600.0,1575.0,1575.0,1575.0,"1,37M"
08/03/2011,1600.0,1615.0,1570.0,1570.0,1570.0,"3,18M"
09/03/2011,1560.0,1575.0,1545.0,1550.0,1550.0,"3,60M"
10/03/2011,1540.0,1540.0,1495.0,1495.0,1495.0,"5,52M"
11/03/2011,1490.0,1490.0,1420.0,1450.0,1450.0,"4,48M"
14/03/2011,1450.0,1465.0,1430.0,1450.0,1450.0,"524,77K"
15/03/2011,1450.0,1460.0,1430.0,1460.0,1460.0,"773,75K"
16/03/2011,1465.0,1475.0,1460.0,1470.0,1470.0,"518,91K"
17/03/2011,1500.0,1520.0,1470.0,1500.0,1500.0,"1,87M"
18/03/2011,1465.0,1495.0,1465.0,1480.0,1480.0,"1,09M"
22/03/2011,1460.0,1460.0,1370.0,1400.0,1400.0,"14,00M"
23/03/2011,1390.0,1400.0,1345.0,1350.0,1350.0,"5,91M"
24/03/2011,1360.0,1380.0,1355.0,1375.0,1375.0,"5,11M"
25/03/2011,1365.0,1375.0,1350.0,1355.0,1355.0,"4,48M"
28/03/2011,1350.0,1360.0,1350.0,1355.0,1355.0,"516,06K"
29/03/2011,1350.0,1360.0,1350.0,1350.0,1350.0,"3,89M"
30/03/2011,1350.0,1360.0,1345.0,1345.0,1345.0,"3,15M"
31/03/2011,1350.0,1365.0,1345.0,1365.0,1365.0,"4,61M"
01/04/2011,1355.0,1355.0,1345.0,1350.0,1350.0,"932,25K"
04/04/2011,1350.0,1350.0,1345.0,1345.0,1345.0,"1,64M"
05/04/2011,1345.0,1365.0,1345.0,1365.0,1365.0,"4,05M"
06/04/2011,1365.0,1375.0,1360.0,1370.0,1370.0,"5,90M"
07/04/2011,1370.0,1370.0,1350.0,1360.0,1360.0,"3,83M"
08/04/2011,1360.0,1360.0,1345.0,1350.0,1350.0,"5,38M"
11/04/2011,1350.0,1360.0,1345.0,1350.0,1350.0,"12,17M"
12/04/2011,1370.0,1375.0,1335.0,1335.0,1335.0,"3,56M"
13/04/2011,1355.0,1360.0,1340.0,1360.0,1360.0,"2,43M"
14/04/2011,1350.0,1365.0,1345.0,1350.0,1350.0,"1,61M"
15/04/2011,1350.0,1355.0,1345.0,1355.0,1355.0,"680,50K"
