Date,Open,High,Low,Close,Adj Close,Volume
19/11/2010,13500.0,13680.0,13240.0,13400.0,13400.0,"209,70K"
22/11/2010,13400.0,13560.0,13260.0,13300.0,13300.0,"213,63K"
23/11/2010,13040.0,13080.0,12900.0,12960.0,12960.0,"407,38K"
24/11/2010,12960.0,13300.0,12940.0,13280.0,13280.0,"230,76K"
25/11/2010,13280.0,13500.0,13260.0,13320.0,13320.0,"252,83K"
26/11/2010,13300.0,13320.0,12980.0,13160.0,13160.0,"97,44K"
29/11/2010,13080.0,13400.0,13000.0,13400.0,13400.0,"123,63K"
30/11/2010,13100.0,13600.0,13060.0,13500.0,13500.0,"479,57K"
01/12/2010,13500.0,13660.0,13500.0,13540.0,13540.0,"643,21K"
02/12/2010,13600.0,13820.0,13460.0,13820.0,13820.0,"292,97K"
03/12/2010,13600.0,13920.0,13580.0,13840.0,13840.0,"298,90K"
06/12/2010,13700.0,13980.0,13700.0,13760.0,13760.0,"450,39K"
07/12/2010,13840.0,13900.0,13720.0,13760.0,13760.0,"224,46K"
09/12/2010,13800.0,13860.0,13660.0,13760.0,13760.0,"185,51K"
10/12/2010,13800.0,13960.0,13600.0,13960.0,13960.0,"134,74K"
13/12/2010,13900.0,13960.0,13820.0,13860.0,13860.0,"247,36K"
14/12/2010,13860.0,14020.0,13860.0,14020.0,14020.0,"296,24K"
15/12/2010,13900.0,14080.0,13800.0,13800.0,13800.0,"721,18K"
16/12/2010,13700.0,14000.0,13620.0,13960.0,13960.0,"379,22K"
17/12/2010,13960.0,14100.0,13960.0,14000.0,14000.0,"542,82K"
20/12/2010,13960.0,14120.0,13960.0,14020.0,14020.0,"521,34K"
21/12/2010,14000.0,14240.0,14000.0,14200.0,14200.0,"364,06K"
22/12/2010,14120.0,14420.0,14120.0,14360.0,14360.0,"778,99K"
23/12/2010,14360.0,14480.0,14280.0,14340.0,14340.0,"446,20K"
24/12/2010,14360.0,14500.0,14300.0,14300.0,14300.0,"208,82K"
27/12/2010,14300.0,14640.0,14300.0,14400.0,14400.0,"456,30K"
28/12/2010,14180.0,14180.0,14180.0,14200.0,14200.0,"143,19K"
29/12/2010,14200.0,14200.0,14000.0,14100.0,14100.0,"207,56K"
30/12/2010,14080.0,14260.0,14000.0,14100.0,14100.0,"224,44K"
03/01/2011,14100.0,14100.0,13720.0,13960.0,13960.0,"129,42K"
04/01/2011,13800.0,13940.0,13620.0,13940.0,13940.0,"145,96K"
05/01/2011,13660.0,13780.0,13640.0,13640.0,13640.0,"49,01K"
06/01/2011,13620.0,13620.0,13420.0,13420.0,13420.0,"47,01K"
07/01/2011,13440.0,13700.0,13400.0,13700.0,13700.0,"72,21K"
11/01/2011,13960.0,13960.0,13620.0,13620.0,13620.0,"97,49K"
12/01/2011,13620.0,13840.0,13620.0,13700.0,13700.0,"101,05K"
13/01/2011,13800.0,13880.0,13740.0,13840.0,13840.0,"160,29K"
14/01/2011,13760.0,13880.0,13680.0,13800.0,13800.0,"192,07K"
17/01/2011,13720.0,13900.0,13640.0,13880.0,13880.0,"94,54K"
18/01/2011,13740.0,13860.0,13740.0,13800.0,13800.0,"150,03K"
19/01/2011,13740.0,13780.0,13500.0,13780.0,13780.0,"133,39K"
20/01/2011,13500.0,13740.0,13440.0,13440.0,13440.0,"191,95K"
21/01/2011,13500.0,13580.0,13460.0,13460.0,13460.0,"93,12K"
24/01/2011,13400.0,13640.0,13340.0,13500.0,13500.0,"65,40K"
25/01/2011,13340.0,13400.0,13240.0,13300.0,13300.0,"133,20K"
26/01/2011,13500.0,13500.0,13280.0,13400.0,13400.0,"57,71K"
27/01/2011,13400.0,13740.0,13320.0,13740.0,13740.0,"329,04K"
28/01/2011,13740.0,13740.0,13400.0,13600.0,13600.0,"175,78K"
31/01/2011,13440.0,13600.0,13340.0,13460.0,13460.0,"148,34K"
01/02/2011,13200.0,13380.0,13160.0,13160.0,13160.0,"788,48K"
02/02/2011,13160.0,13200.0,12920.0,12940.0,12940.0,"199,87K"
03/02/2011,12940.0,13200.0,12800.0,13060.0,13060.0,"111,39K"
04/02/2011,13000.0,13160.0,12740.0,12880.0,12880.0,"140,92K"
07/02/2011,12700.0,13000.0,12620.0,12640.0,12640.0,"91,73K"
08/02/2011,12600.0,12800.0,12600.0,12800.0,12800.0,"158,03K"
09/02/2011,12720.0,12920.0,12500.0,12500.0,12500.0,"693,05K"
10/02/2011,12500.0,12700.0,12500.0,12520.0,12520.0,"3,56K"
11/02/2011,12520.0,12640.0,12360.0,12640.0,12640.0,"94,14K"
14/02/2011,12540.0,12640.0,12500.0,12540.0,12540.0,"139,25K"
15/02/2011,12540.0,12700.0,12500.0,12540.0,12540.0,"170,49K"
16/02/2011,12500.0,12500.0,12360.0,12460.0,12460.0,"83,85K"
17/02/2011,12680.0,12680.0,12200.0,12360.0,12360.0,"76,78K"
18/02/2011,12360.0,12380.0,12120.0,12160.0,12160.0,"212,32K"
21/02/2011,12160.0,12300.0,12100.0,12220.0,12220.0,"60,14K"
23/02/2011,12320.0,12500.0,12300.0,12400.0,12400.0,"199,92K"
24/02/2011,12500.0,12540.0,12380.0,12380.0,12380.0,"152,90K"
25/02/2011,12320.0,12600.0,12300.0,12300.0,12300.0,"117,03K"
28/02/2011,12240.0,12640.0,12240.0,12600.0,12600.0,"397,42K"
01/03/2011,12800.0,12860.0,12740.0,12760.0,12760.0,"278,65K"
02/03/2011,12640.0,12860.0,12600.0,12860.0,12860.0,"144,05K"
03/03/2011,12860.0,12920.0,12760.0,12900.0,12900.0,"131,71K"
04/03/2011,12840.0,13000.0,12840.0,12880.0,12880.0,"162,24K"
07/03/2011,12880.0,13000.0,12740.0,12920.0,12920.0,"113,68K"
08/03/2011,12780.0,12900.0,12700.0,12700.0,12700.0,"131,20K"
09/03/2011,12700.0,12720.0,12500.0,12600.0,12600.0,"230,31K"
10/03/2011,12600.0,12600.0,12360.0,12500.0,12500.0,"77,85K"
11/03/2011,12500.0,12540.0,12220.0,12220.0,12220.0,"157,59K"
14/03/2011,12200.0,12720.0,11920.0,12720.0,12720.0,"154,05K"
15/03/2011,12060.0,12440.0,12060.0,12300.0,12300.0,"90,53K"
16/03/2011,12300.0,12360.0,12000.0,12360.0,12360.0,"121,24K"
18/03/2011,12920.0,13000.0,12780.0,13000.0,13000.0,"463,11K"
22/03/2011,13000.0,13100.0,12460.0,13100.0,13100.0,"431,47K"
23/03/2011,13100.0,13100.0,12760.0,12880.0,12880.0,"152,53K"
24/03/2011,12820.0,13060.0,12820.0,13020.0,13020.0,"208,36K"
25/03/2011,12820.0,13040.0,12820.0,12860.0,12860.0,"90,64K"
28/03/2011,12740.0,12960.0,12660.0,12900.0,12900.0,"166,57K"
29/03/2011,12720.0,12900.0,12580.0,12780.0,12780.0,"75,19K"
30/03/2011,12560.0,12700.0,12560.0,12700.0,12700.0,"95,50K"
31/03/2011,12580.0,12780.0,12580.0,12720.0,12720.0,"178,70K"
01/04/2011,12560.0,12740.0,12540.0,12640.0,12640.0,"72,92K"
04/04/2011,12600.0,12660.0,12500.0,12500.0,12500.0,"58,69K"
05/04/2011,12500.0,12560.0,12360.0,12500.0,12500.0,"128,83K"
06/04/2011,12360.0,12500.0,12260.0,12320.0,12320.0,"249,45K"
07/04/2011,12320.0,12580.0,12220.0,12500.0,12500.0,"309,08K"
08/04/2011,12300.0,12500.0,12260.0,12260.0,12260.0,"60,32K"
11/04/2011,12240.0,12340.0,12080.0,12340.0,12340.0,"148,39K"
12/04/2011,12340.0,12340.0,12140.0,12340.0,12340.0,"70,99K"
13/04/2011,12140.0,12300.0,12140.0,12220.0,12220.0,"155,22K"
14/04/2011,12160.0,12300.0,12100.0,12300.0,12300.0,"159,50K"
15/04/2011,12300.0,12300.0,12100.0,12240.0,12240.0,"30,76K"
18/04/2011,12160.0,12280.0,12060.0,12220.0,12220.0,"55,46K"
19/04/2011,12200.0,12300.0,12000.0,12220.0,12220.0,"108,53K"
20/04/2011,12300.0,12520.0,12220.0,12520.0,12520.0,"135,86K"
25/04/2011,12520.0,12600.0,12200.0,12400.0,12400.0,"52,33K"
