Date,Open,High,Low,Close,Adj Close,Volume
09/01/2014,9260.0,9260.0,9200.0,9200.0,9200.0,"470,04K"
10/01/2014,9200.0,9200.0,9160.0,9200.0,9200.0,"295,30K"
13/01/2014,9150.0,9180.0,9150.0,9170.0,9170.0,"142,05K"
14/01/2014,9140.0,9220.0,9130.0,9220.0,9220.0,"256,27K"
15/01/2014,9230.0,9250.0,9200.0,9200.0,9200.0,"685,04K"
16/01/2014,9190.0,9190.0,9050.0,9140.0,9140.0,"133,51K"
17/01/2014,9040.0,9140.0,9040.0,9100.0,9100.0,"2,35M"
20/01/2014,9100.0,9170.0,9100.0,9160.0,9160.0,"23,21K"
21/01/2014,9160.0,9230.0,9160.0,9170.0,9170.0,"460,44K"
22/01/2014,9200.0,9200.0,9110.0,9110.0,9110.0,"78,05K"
23/01/2014,9140.0,9180.0,9140.0,9160.0,9160.0,"619,84K"
24/01/2014,9160.0,9170.0,8940.0,8940.0,8940.0,"379,96K"
27/01/2014,9150.0,9150.0,8890.0,8900.0,8900.0,"781,55K"
28/01/2014,8930.0,8930.0,8600.0,8600.0,8600.0,"1,59M"
29/01/2014,8600.0,8600.0,8500.0,8500.0,8500.0,"319,73K"
30/01/2014,8420.0,8510.0,8420.0,8440.0,8440.0,"852,90K"
31/01/2014,8500.0,8680.0,8500.0,8630.0,8630.0,"10,57M"
03/02/2014,8630.0,8630.0,8450.0,8580.0,8580.0,"762,82K"
04/02/2014,8500.0,8600.0,8500.0,8600.0,8600.0,"257,55K"
05/02/2014,8550.0,8780.0,8550.0,8700.0,8700.0,"719,17K"
06/02/2014,8700.0,8880.0,8680.0,8830.0,8830.0,"1,47M"
07/02/2014,8830.0,8980.0,8830.0,8980.0,8980.0,"219,75K"
10/02/2014,8790.0,8900.0,8790.0,8820.0,8820.0,"345,49K"
11/02/2014,8900.0,9000.0,8900.0,9000.0,9000.0,"177,11K"
12/02/2014,9020.0,9200.0,9020.0,9130.0,9130.0,"912,46K"
13/02/2014,9130.0,9250.0,9130.0,9150.0,9150.0,"389,36K"
14/02/2014,9160.0,9210.0,9130.0,9130.0,9130.0,"305,15K"
17/02/2014,9150.0,9160.0,9130.0,9150.0,9150.0,"96,64K"
18/02/2014,9120.0,9300.0,9100.0,9300.0,9300.0,"414,65K"
19/02/2014,9250.0,9350.0,9250.0,9300.0,9300.0,"484,56K"
20/02/2014,9250.0,9590.0,9250.0,9590.0,9590.0,"505,27K"
21/02/2014,9400.0,9560.0,9250.0,9300.0,9300.0,"719,55K"
24/02/2014,9500.0,9500.0,9320.0,9320.0,9320.0,"90,57K"
25/02/2014,9300.0,9310.0,9200.0,9240.0,9240.0,"408,34K"
26/02/2014,9200.0,9200.0,9120.0,9150.0,9150.0,"224,54K"
27/02/2014,9100.0,9200.0,9050.0,9200.0,9200.0,"332,48K"
28/02/2014,9200.0,9210.0,9120.0,9170.0,9170.0,"471,23K"
03/03/2014,9130.0,9130.0,9100.0,9100.0,9100.0,"26,24K"
04/03/2014,9200.0,9350.0,9200.0,9350.0,9350.0,"120,43K"
05/03/2014,9340.0,9490.0,9340.0,9490.0,9490.0,"177,37K"
06/03/2014,9500.0,9700.0,9500.0,9670.0,9670.0,"969,36K"
07/03/2014,9620.0,9670.0,9440.0,9600.0,9600.0,"281,44K"
10/03/2014,9640.0,9640.0,9560.0,9620.0,9620.0,"113,83K"
11/03/2014,9520.0,9690.0,9520.0,9690.0,9690.0,"298,07K"
12/03/2014,9650.0,9680.0,9590.0,9600.0,9600.0,"110,81K"
13/03/2014,9600.0,9790.0,9600.0,9790.0,9790.0,"303,40K"
14/03/2014,9740.0,9780.0,9690.0,9690.0,9690.0,"80,64K"
17/03/2014,9700.0,9700.0,9640.0,9660.0,9660.0,"200,50K"
18/03/2014,9660.0,9660.0,9570.0,9580.0,9580.0,"353,07K"
19/03/2014,9580.0,9670.0,9580.0,9600.0,9600.0,"84,03K"
20/03/2014,9600.0,9690.0,9600.0,9690.0,9690.0,"92,15K"
21/03/2014,9660.0,9660.0,9610.0,9610.0,9610.0,"69,93K"
25/03/2014,9610.0,9890.0,9600.0,9890.0,9890.0,"341,35K"
26/03/2014,9800.0,9980.0,9800.0,9940.0,9940.0,"211,24K"
27/03/2014,9880.0,10000.0,9880.0,10000.0,10000.0,"626,57K"
28/03/2014,9920.0,10000.0,9860.0,10000.0,10000.0,"352,40K"
31/03/2014,10000.0,10100.0,9950.0,10040.0,10040.0,"426,57K"
01/04/2014,10000.0,10000.0,9910.0,9950.0,9950.0,"91,81K"
02/04/2014,9950.0,10080.0,9920.0,10060.0,10060.0,"280,74K"
03/04/2014,10040.0,10120.0,10020.0,10080.0,10080.0,"375,15K"
04/04/2014,10080.0,10120.0,9970.0,10080.0,10080.0,"384,24K"
07/04/2014,10000.0,10000.0,9820.0,9860.0,9860.0,"278,69K"
08/04/2014,9860.0,10020.0,9850.0,9990.0,9990.0,"435,62K"
09/04/2014,9890.0,9900.0,9720.0,9720.0,9720.0,"157,76K"
10/04/2014,9800.0,9830.0,9760.0,9800.0,9800.0,"91,47K"
11/04/2014,9790.0,9790.0,9750.0,9750.0,9750.0,"48,84K"
14/04/2014,9770.0,10000.0,9770.0,9980.0,9980.0,"343,69K"
15/04/2014,9990.0,9990.0,9910.0,9910.0,9910.0,"30,33K"
16/04/2014,9800.0,9920.0,9800.0,9920.0,9920.0,"20,36K"
21/04/2014,9950.0,10000.0,9950.0,9980.0,9980.0,"125,23K"
22/04/2014,10000.0,10100.0,10000.0,10020.0,10020.0,"155,80K"
23/04/2014,10020.0,10080.0,10000.0,10000.0,10000.0,"269,85K"
24/04/2014,10000.0,10000.0,9860.0,9980.0,9980.0,"127,23K"
25/04/2014,10000.0,10300.0,10000.0,10300.0,10300.0,"454,09K"
28/04/2014,10300.0,10680.0,10200.0,10600.0,10600.0,"1,38M"
29/04/2014,10420.0,10580.0,10360.0,10380.0,10380.0,"2,09M"
30/04/2014,10380.0,10720.0,10340.0,10600.0,10600.0,"897,97K"
02/05/2014,10600.0,10600.0,10460.0,10460.0,10460.0,"192,11K"
05/05/2014,10340.0,10560.0,10340.0,10540.0,10540.0,"127,05K"
06/05/2014,10360.0,10540.0,10300.0,10540.0,10540.0,"312,82K"
07/05/2014,10520.0,10740.0,10400.0,10740.0,10740.0,"853,35K"
08/05/2014,10740.0,11180.0,10500.0,10780.0,10780.0,"1,14M"
09/05/2014,10940.0,10940.0,10740.0,10860.0,10860.0,"734,80K"
12/05/2014,10600.0,11000.0,10600.0,11000.0,11000.0,"460,30K"
13/05/2014,11000.0,11140.0,10900.0,11020.0,11020.0,"1,64M"
14/05/2014,11020.0,11120.0,10980.0,11020.0,11020.0,"1,05M"
15/05/2014,10720.0,10980.0,10720.0,10740.0,10740.0,"949,19K"
16/05/2014,10740.0,10900.0,10600.0,10700.0,10700.0,"695,67K"
19/05/2014,10540.0,10820.0,10540.0,10780.0,10780.0,"150,57K"
20/05/2014,10600.0,10720.0,10460.0,10700.0,10700.0,"294,56K"
21/05/2014,10680.0,10740.0,10480.0,10740.0,10740.0,"287,46K"
22/05/2014,10620.0,10680.0,10500.0,10500.0,10500.0,"220,05K"
23/05/2014,10520.0,10640.0,10500.0,10600.0,10600.0,"426,21K"
26/05/2014,10600.0,10600.0,10520.0,10540.0,10540.0,"186,11K"
27/05/2014,10540.0,10800.0,10540.0,10600.0,10600.0,"435,95K"
28/05/2014,10560.0,10620.0,10560.0,10600.0,10600.0,"153,47K"
29/05/2014,10560.0,10720.0,10420.0,10420.0,10420.0,"116,61K"
30/05/2014,10440.0,10840.0,10440.0,10840.0,10840.0,"172,29K"
03/06/2014,10580.0,10800.0,10580.0,10800.0,10800.0,"69,15K"
04/06/2014,10700.0,10860.0,10660.0,10860.0,10860.0,"231,68K"
05/06/2014,10660.0,10760.0,10660.0,10660.0,10660.0,"170,61K"
06/06/2014,10680.0,10800.0,10680.0,10720.0,10720.0,"722,47K"
09/06/2014,10680.0,10720.0,10520.0,10680.0,10680.0,"164,26K"
10/06/2014,10680.0,10860.0,10660.0,10840.0,10840.0,"1,11M"
11/06/2014,10800.0,10900.0,10740.0,10820.0,10820.0,"433,50K"
12/06/2014,10820.0,10820.0,10700.0,10740.0,10740.0,"244,86K"
13/06/2014,10700.0,10720.0,10600.0,10600.0,10600.0,"85,24K"
16/06/2014,10660.0,10940.0,10660.0,10840.0,10840.0,"262,85K"
17/06/2014,10860.0,11800.0,10860.0,11400.0,11400.0,"1,36M"
18/06/2014,11380.0,11460.0,11000.0,11280.0,11280.0,"335,16K"
19/06/2014,11200.0,11400.0,11200.0,11200.0,11200.0,"181,31K"
20/06/2014,11200.0,11400.0,11200.0,11400.0,11400.0,"369,65K"
24/06/2014,11400.0,11480.0,11400.0,11400.0,11400.0,"108,67K"
25/06/2014,11300.0,11300.0,11280.0,11300.0,11300.0,"90,45K"
26/06/2014,11300.0,11400.0,11300.0,11400.0,11400.0,"530,00K"
27/06/2014,11400.0,11480.0,11260.0,11380.0,11380.0,"114,58K"
01/07/2014,11400.0,11480.0,11380.0,11460.0,11460.0,"153,01K"
02/07/2014,11140.0,11600.0,11140.0,11460.0,11460.0,"422,03K"
03/07/2014,11400.0,11480.0,11340.0,11480.0,11480.0,"78,88K"
04/07/2014,11480.0,11480.0,11480.0,11480.0,11480.0,"11,72K"
07/07/2014,11420.0,11420.0,11240.0,11240.0,11240.0,"76,34K"
08/07/2014,11200.0,11360.0,11200.0,11360.0,11360.0,"118,72K"
09/07/2014,11300.0,11340.0,11220.0,11240.0,11240.0,"168,11K"
10/07/2014,11280.0,11300.0,11120.0,11120.0,11120.0,"185,01K"
11/07/2014,11120.0,11200.0,11120.0,11200.0,11200.0,"136,22K"
14/07/2014,11180.0,11200.0,11140.0,11140.0,11140.0,"85,44K"
15/07/2014,11120.0,11120.0,10900.0,11060.0,11060.0,"174,81K"
16/07/2014,11060.0,11140.0,10860.0,10860.0,10860.0,"214,39K"
17/07/2014,11080.0,11080.0,10800.0,10800.0,10800.0,"230,69K"
18/07/2014,10800.0,11040.0,10800.0,11040.0,11040.0,"146,38K"
21/07/2014,11000.0,11040.0,10980.0,10980.0,10980.0,"224,20K"
22/07/2014,11000.0,11080.0,10980.0,11040.0,11040.0,"836,36K"
23/07/2014,11040.0,11080.0,11020.0,11060.0,11060.0,"576,03K"
24/07/2014,11100.0,11100.0,11020.0,11080.0,11080.0,"321,22K"
25/07/2014,11040.0,11080.0,10860.0,10960.0,10960.0,"299,33K"
28/07/2014,10920.0,11040.0,10920.0,11000.0,11000.0,"419,94K"
29/07/2014,10980.0,10980.0,10840.0,10900.0,10900.0,"377,37K"
30/07/2014,10900.0,10900.0,10820.0,10900.0,10900.0,"102,91K"
31/07/2014,10900.0,10940.0,10600.0,10600.0,10600.0,"327,00K"
01/08/2014,10660.0,10840.0,10660.0,10700.0,10700.0,"112,65K"
04/08/2014,10700.0,10980.0,10700.0,10960.0,10960.0,"304,94K"
05/08/2014,10960.0,11100.0,10960.0,11040.0,11040.0,"2,08M"
06/08/2014,11100.0,11100.0,11000.0,11000.0,11000.0,"134,81K"
08/08/2014,11060.0,11080.0,10960.0,11080.0,11080.0,"94,25K"
11/08/2014,11080.0,11080.0,11000.0,11020.0,11020.0,"278,30K"
12/08/2014,11020.0,11080.0,10980.0,10980.0,10980.0,"1,92M"
13/08/2014,10980.0,11000.0,10800.0,10880.0,10880.0,"240,84K"
