Date,Dividends
08/07/2013,0.45
06/04/2011,0.43
08/01/2013,0.45
07/01/2015,0.47
08/07/2015,0.47
06/01/2017,0.49
06/07/2011,0.43
08/10/2013,0.45
06/01/2011,0.43
07/10/2015,0.47
05/10/2011,0.43
08/04/2014,0.46
06/04/2016,0.48
08/07/2014,0.46
07/04/2010,0.42
05/04/2012,0.44
08/01/2014,0.46
06/01/2016,0.48
06/07/2016,0.48
06/01/2010,0.42
07/07/2010,0.42
08/10/2014,0.46
05/10/2016,0.48
06/07/2012,0.44
06/01/2012,0.44
06/10/2010,0.42
05/10/2012,0.44
08/04/2013,0.45
08/04/2015,0.47
06/04/2017,0.49
