Date,Dividends
02/03/2011,0.01
31/08/2011,0.01
27/02/2013,0.01
01/06/2016,0.05
30/11/2016,0.075
05/12/2012,0.01
03/12/2014,0.05
02/06/2010,0.01
01/12/2010,0.01
30/05/2012,0.01
31/08/2016,0.075
01/03/2017,0.075
05/09/2012,0.01
03/09/2014,0.05
04/03/2015,0.05
03/03/2010,0.01
01/09/2010,0.01
29/02/2012,0.01
31/05/2017,0.075
05/06/2013,0.01
04/12/2013,0.01
03/06/2015,0.05
02/12/2015,0.05
20/06/2014,0.01
01/06/2011,0.01
30/11/2011,0.01
02/09/2015,0.05
02/03/2016,0.05
04/09/2013,0.01
05/03/2014,0.01
