Date,Dividends
21/04/2016,0.77
17/10/2013,0.6
22/04/2010,0.42
19/04/2012,0.46
20/10/2016,0.77
18/07/2016,0.77
16/04/2014,0.6
18/01/2017,0.77
16/07/2010,0.44
21/10/2010,0.44
18/10/2012,0.52
18/01/2011,0.44
18/07/2012,0.52
17/07/2014,0.7
15/01/2015,0.7
20/04/2017,0.77
16/10/2014,0.7
22/10/2015,0.77
15/01/2016,0.77
20/04/2011,0.44
18/04/2013,0.52
16/04/2015,0.7
15/01/2010,0.42
20/10/2011,0.46
20/12/2012,0.52
18/07/2011,0.46
18/01/2012,0.46
18/07/2013,0.6
16/01/2014,0.6
16/07/2015,0.77
