Date,Dividends
17/06/2010,0.334
01/04/2015,0.325
30/03/2017,0.325
19/12/2011,0.355
27/12/2016,0.296
17/09/2010,0.334
25/06/2013,0.412
24/12/2013,0.389
24/06/2015,0.33
21/03/2013,0.416
24/12/2015,0.285
07/02/2012,0.013
17/03/2011,0.349
25/09/2013,0.398
25/09/2015,0.348
28/03/2016,0.287
16/06/2011,0.359
17/12/2010,0.334
27/03/2012,0.403
27/03/2014,0.381
30/06/2016,0.299
19/09/2011,0.349
24/12/2012,0.394
26/06/2012,0.401
24/06/2014,0.408
20/03/2014,0.01
27/09/2016,0.296
26/12/2014,0.317
17/03/2010,0.336
25/09/2012,0.402
25/09/2014,0.413
