Date,Dividends
16/11/2016,1.08
17/05/2017,1.08
17/08/2015,1.07
16/11/2010,0.72
17/05/2011,0.78
14/11/2012,0.9
15/05/2013,1.0
14/02/2017,1.08
15/05/2015,1.07
14/11/2014,1.07
17/08/2011,0.78
15/02/2012,0.81
12/02/2014,1.0
15/08/2013,1.0
12/02/2010,0.68
16/11/2015,1.07
17/05/2016,1.07
17/05/2010,0.72
16/11/2011,0.81
16/05/2012,0.9
16/02/2016,1.07
14/11/2013,1.0
15/05/2014,1.07
17/08/2016,1.07
14/02/2011,0.72
17/08/2010,0.72
15/08/2012,0.9
13/02/2013,0.9
12/02/2015,1.07
15/08/2014,1.07
