Date,Dividends
17/06/2010,0.1
18/09/2014,0.22
15/09/2016,0.23
15/06/2012,0.055
20/09/2012,0.17
23/02/2017,0.24
16/09/2010,0.12
19/02/2015,0.23
24/02/2011,0.14
21/02/2013,0.19
18/06/2015,0.23
17/12/2015,0.23
22/12/2011,0.17
20/06/2013,0.19
19/12/2013,0.22
16/06/2011,0.15
19/09/2013,0.19
17/09/2015,0.23
25/02/2016,0.23
15/09/2011,0.15
25/02/2010,0.1
23/02/2012,0.17
20/02/2014,0.22
22/12/2016,0.24
22/12/2010,0.14
19/06/2014,0.22
18/12/2014,0.23
16/06/2016,0.23
21/06/2012,0.17
20/12/2012,0.19
