Date,Dividends
03/02/2010,0.158
04/08/2010,0.158
03/02/2012,0.21
03/08/2012,0.225
03/11/2016,0.26
03/11/2010,0.158
05/05/2015,0.24
05/11/2013,0.225
03/05/2017,0.273
04/11/2015,0.24
04/05/2011,0.181
05/02/2014,0.225
05/08/2015,0.24
03/02/2016,0.26
03/05/2013,0.225
03/08/2011,0.21
03/02/2011,0.181
05/08/2013,0.225
03/11/2011,0.21
04/05/2016,0.26
05/11/2014,0.225
05/08/2014,0.225
05/05/2010,0.158
05/02/2013,0.225
03/08/2016,0.26
03/05/2012,0.21
04/02/2015,0.24
03/02/2017,0.26
05/11/2012,0.225
05/05/2014,0.225
