Date,Dividends
23/05/2013,0.66
24/02/2017,0.8
21/05/2015,0.75
25/05/2017,0.84
26/11/2010,0.54
23/11/2012,0.61
27/08/2010,0.54
21/11/2014,0.7
25/02/2011,0.54
24/08/2012,0.61
18/11/2016,0.8
27/05/2010,0.54
22/02/2013,0.61
22/08/2014,0.7
20/02/2015,0.7
19/08/2016,0.8
24/05/2012,0.61
22/05/2014,0.7
20/05/2016,0.8
25/11/2011,0.57
22/11/2013,0.66
20/11/2015,0.75
19/02/2010,0.49
26/08/2011,0.57
24/02/2012,0.57
23/08/2013,0.66
26/05/2011,0.57
21/02/2014,0.66
21/08/2015,0.75
19/02/2016,0.75
