Date,Dividends
04/04/2011,0.25
01/04/2015,0.4
03/04/2013,0.3
04/01/2017,0.48
02/07/2013,0.38
04/01/2011,0.05
01/07/2015,0.44
02/01/2013,0.3
02/01/2015,0.4
04/10/2011,0.25
02/10/2013,0.38
01/07/2011,0.25
02/10/2015,0.44
04/04/2016,0.44
03/04/2012,0.3
04/01/2016,0.44
02/04/2014,0.38
04/01/2010,0.05
03/07/2012,0.3
01/07/2014,0.4
04/10/2016,0.48
01/04/2010,0.05
04/01/2012,0.25
02/01/2014,0.38
01/07/2016,0.48
04/10/2010,0.05
01/07/2010,0.05
03/10/2012,0.3
02/10/2014,0.4
04/04/2017,0.5
