Date,Dividends
30/08/2011,0.61
27/02/2013,0.77
27/05/2011,0.61
29/08/2013,0.77
26/02/2015,0.85
02/06/2016,0.89
25/02/2011,0.61
29/11/2016,0.94
29/11/2010,0.61
27/02/2017,0.94
26/11/2014,0.85
30/08/2016,0.89
31/05/2012,0.7
29/11/2012,0.77
29/05/2014,0.81
30/08/2010,0.55
28/02/2012,0.7
27/05/2010,0.55
30/08/2012,0.7
27/02/2014,0.81
28/08/2014,0.81
01/06/2017,0.94
25/02/2010,0.55
27/11/2015,0.89
28/08/2015,0.85
26/02/2016,0.89
29/11/2011,0.7
27/11/2013,0.81
30/05/2013,0.77
28/05/2015,0.85
