Date,Dividends
16/05/2017,0.39
18/11/2014,0.31
19/05/2015,0.31
15/11/2016,0.39
16/11/2010,0.16
17/05/2011,0.16
13/11/2012,0.23
14/05/2013,0.23
19/02/2013,0.23
17/02/2015,0.31
18/08/2015,0.31
14/02/2017,0.39
16/02/2010,0.13
16/08/2011,0.16
14/02/2012,0.2
13/08/2013,0.23
19/11/2013,0.28
17/11/2015,0.36
17/05/2016,0.36
18/05/2010,0.13
15/11/2011,0.2
15/05/2012,0.2
13/05/2014,0.28
18/02/2014,0.28
19/08/2014,0.28
16/02/2016,0.36
16/08/2016,0.36
17/08/2010,0.13
15/02/2011,0.16
14/08/2012,0.2
