Date,Dividends
30/07/2014,0.26
03/02/2010,0.18
04/08/2010,0.18
01/02/2012,0.22
01/08/2012,0.22
08/11/2016,0.3
04/11/2010,0.18
10/05/2017,0.32
08/11/2011,0.2
11/05/2011,0.2
08/05/2013,0.24
06/11/2013,0.24
06/05/2015,0.28
04/11/2015,0.28
05/02/2014,0.26
05/08/2015,0.28
03/02/2016,0.3
02/02/2011,0.2
03/08/2011,0.2
30/01/2013,0.24
31/07/2013,0.24
11/05/2016,0.3
09/05/2012,0.22
07/11/2012,0.22
07/05/2014,0.26
05/11/2014,0.26
05/05/2010,0.18
03/08/2016,0.3
01/02/2017,0.32
04/02/2015,0.28
