Date,Dividends
28/04/2010,0.482
19/10/2011,0.525
16/10/2013,0.602
25/04/2012,0.562
23/04/2014,0.644
21/01/2015,0.644
14/04/2016,0.67
20/07/2016,0.67
18/01/2017,0.67
21/07/2010,0.482
19/01/2011,0.482
18/07/2012,0.562
16/01/2013,0.562
16/07/2014,0.644
22/10/2014,0.644
19/10/2016,0.67
27/04/2011,0.525
23/04/2015,0.663
20/10/2010,0.482
17/10/2012,0.562
24/04/2013,0.602
19/04/2017,0.69
22/01/2014,0.602
22/07/2015,0.663
20/01/2016,0.663
20/07/2011,0.525
18/01/2012,0.525
17/07/2013,0.602
20/01/2010,0.44
21/10/2015,0.663
