Date,Dividends
09/03/2016,0.5
10/05/2017,0.51
08/03/2013,0.47
11/05/2011,0.365
08/05/2013,0.47
06/05/2015,0.49
08/12/2010,0.303
05/12/2012,0.398
03/12/2014,0.48
11/03/2015,0.49
10/08/2011,0.365
07/08/2013,0.47
05/08/2015,0.49
09/03/2011,0.365
07/12/2016,0.5
08/03/2017,0.51
11/05/2016,0.5
08/03/2012,0.398
07/03/2014,0.48
12/05/2010,0.303
09/05/2012,0.398
07/05/2014,0.48
10/08/2016,0.5
07/12/2011,0.365
04/12/2013,0.47
02/12/2015,0.49
11/08/2010,0.303
08/08/2012,0.398
06/08/2014,0.48
10/03/2010,0.303
