Date,Dividends
11/05/2015,0.73
08/11/2016,0.75
10/05/2017,0.77
08/11/2011,0.47
11/08/2015,0.73
09/02/2016,0.73
11/05/2011,0.47
09/05/2013,0.63
07/11/2013,0.63
08/02/2010,0.42
10/08/2011,0.47
08/02/2012,0.47
06/02/2014,0.63
09/08/2013,0.63
09/11/2015,0.73
11/05/2016,0.75
11/08/2014,0.69
11/05/2010,0.44
09/11/2010,0.44
07/11/2012,0.57
10/05/2012,0.57
10/08/2016,0.75
08/02/2017,0.75
09/05/2014,0.69
07/11/2014,0.69
08/02/2011,0.44
11/08/2010,0.44
09/08/2012,0.57
07/02/2013,0.57
06/02/2015,0.69
