Data,Último,Máximo,Mínimo,Abertura,Volume
19/11/2010,"44,00","45,20","44,00","45,20","12,04M"
22/11/2010,"44,80","45,20","44,00","44,00","1,45M"
23/11/2010,"43,40","43,40","43,40","43,40","109,34K"
24/11/2010,"43,50","43,90","43,50","43,90","12,96M"
25/11/2010,"43,50","44,00","43,30","44,00","17,20M"
26/11/2010,"43,50","43,50","43,00","43,00","1,08M"
29/11/2010,"43,10","43,50","43,00","43,20","855,87K"
30/11/2010,"42,60","44,40","42,10","43,00","8,57M"
01/12/2010,"43,30","43,50","42,60","43,50","9,58M"
02/12/2010,"42,10","42,80","42,10","42,70","1,24M"
03/12/2010,"42,10","42,50","42,00","42,10","9,01M"
06/12/2010,"43,00","43,30","42,30","42,40","79,90M"
07/12/2010,"43,50","43,70","43,20","43,50","11,44M"
09/12/2010,"43,40","43,50","43,00","43,50","29,32M"
10/12/2010,"43,00","43,40","43,00","43,40","9,71M"
13/12/2010,"43,60","43,90","43,10","43,20","31,10M"
14/12/2010,"44,00","44,30","43,90","43,90","13,05M"
15/12/2010,"44,30","44,50","43,90","44,00","20,19M"
16/12/2010,"44,10","45,00","44,00","45,00","3,00M"
17/12/2010,"45,00","45,30","44,50","45,00","72,08M"
20/12/2010,"43,00","45,50","42,90","45,20","48,74M"
21/12/2010,"43,00","43,00","42,40","42,50","8,45M"
22/12/2010,"44,00","44,90","43,00","43,00","155,79M"
23/12/2010,"44,90","45,00","43,70","44,00","12,60M"
24/12/2010,"44,10","44,40","43,90","43,90","340,01K"
27/12/2010,"44,30","44,30","44,00","44,00","5,24M"
28/12/2010,"43,10","43,10","43,10","43,10","2,28M"
29/12/2010,"43,10","43,70","43,10","43,50","13,04M"
30/12/2010,"43,00","43,10","43,00","43,00","2,71M"
03/01/2011,"42,70","43,00","42,60","43,00","9,67M"
04/01/2011,"43,00","43,30","43,00","43,30","3,15M"
05/01/2011,"43,00","43,10","42,70","42,70","1,97M"
06/01/2011,"42,30","42,70","42,30","42,70","2,26M"
07/01/2011,"42,90","42,90","42,20","42,20","2,14M"
11/01/2011,"42,10","42,90","42,10","42,30","4,91M"
12/01/2011,"42,00","42,10","41,90","42,10","13,98M"
13/01/2011,"42,50","42,70","42,40","42,40","6,57M"
14/01/2011,"43,00","43,00","41,00","42,10","236,30M"
17/01/2011,"43,50","43,90","42,70","43,00","107,90M"
18/01/2011,"44,00","44,50","43,20","43,50","130,24M"
19/01/2011,"43,50","45,50","43,50","44,90","133,59M"
20/01/2011,"42,60","43,50","42,40","42,80","26,21M"
21/01/2011,"42,50","43,80","42,50","43,80","33,55M"
24/01/2011,"42,60","43,00","42,50","42,90","12,68M"
25/01/2011,"41,60","42,30","41,60","42,30","89,52M"
26/01/2011,"41,90","42,60","41,80","41,80","14,55M"
27/01/2011,"42,00","42,10","41,70","41,90","58,32M"
28/01/2011,"41,50","41,90","41,40","41,90","42,67M"
31/01/2011,"41,30","41,90","41,30","41,80","6,79M"
01/02/2011,"40,80","41,20","40,40","41,00","23,42M"
02/02/2011,"40,10","41,00","39,90","40,50","50,74M"
03/02/2011,"40,70","41,10","40,40","40,50","12,83M"
04/02/2011,"40,00","40,70","40,00","40,70","9,43M"
07/02/2011,"39,20","40,20","39,20","40,20","3,92M"
08/02/2011,"40,40","40,40","39,00","39,00","4,40M"
09/02/2011,"39,40","40,40","39,40","40,40","24,83M"
11/02/2011,"38,20","39,30","38,20","39,00","19,46M"
14/02/2011,"39,20","39,20","38,20","38,20","6,68M"
15/02/2011,"39,20","39,20","39,20","39,20","1,16M"
16/02/2011,"38,70","39,40","38,70","39,40","3,76M"
17/02/2011,"39,20","39,70","39,20","39,30","6,96M"
18/02/2011,"38,80","39,40","38,80","39,30","12,07M"
21/02/2011,"38,90","38,90","38,50","38,80","2,61M"
23/02/2011,"41,20","41,20","40,20","40,20","17,55M"
24/02/2011,"41,60","41,80","41,40","41,40","63,13M"
25/02/2011,"42,00","42,10","41,80","41,80","40,50M"
28/02/2011,"42,20","42,50","42,00","42,00","14,33M"
01/03/2011,"42,20","42,20","41,60","42,10","57,76M"
02/03/2011,"42,20","42,20","41,80","41,80","12,99M"
03/03/2011,"42,10","42,50","41,80","41,80","39,06M"
04/03/2011,"42,00","42,20","41,80","42,10","13,93M"
07/03/2011,"41,70","42,20","41,60","42,20","12,34M"
08/03/2011,"41,80","42,00","41,60","41,60","21,35M"
09/03/2011,"41,90","42,10","41,70","41,90","27,16M"
10/03/2011,"41,10","41,80","41,10","41,80","20,13M"
11/03/2011,"40,70","41,60","40,00","41,60","6,16M"
14/03/2011,"40,00","40,00","39,50","39,50","7,82M"
15/03/2011,"39,90","40,00","39,50","40,00","17,78M"
16/03/2011,"38,80","39,50","38,80","39,50","24,93M"
18/03/2011,"40,90","40,90","40,00","40,00","56,74M"
22/03/2011,"41,70","41,70","41,00","41,00","18,88M"
23/03/2011,"41,80","42,00","41,30","41,80","73,85M"
24/03/2011,"42,00","42,10","41,80","42,00","38,87M"
25/03/2011,"41,80","42,00","41,70","41,90","8,66M"
28/03/2011,"41,00","41,60","41,00","41,60","13,44M"
29/03/2011,"40,90","41,00","40,80","40,90","20,22M"
30/03/2011,"40,80","41,00","40,80","40,80","14,76M"
31/03/2011,"41,00","41,00","40,20","40,20","17,75M"
01/04/2011,"41,20","41,50","40,60","40,60","13,78M"
04/04/2011,"42,00","42,00","41,00","41,00","33,20M"
05/04/2011,"42,00","42,10","41,60","41,90","39,53M"
06/04/2011,"42,90","43,30","41,90","42,10","170,48M"
07/04/2011,"43,30","43,30","42,70","42,70","29,74M"
08/04/2011,"42,80","43,20","42,80","43,20","12,19M"
11/04/2011,"41,50","42,70","41,50","42,30","39,57M"
12/04/2011,"40,50","41,70","40,40","41,10","34,59M"
13/04/2011,"40,90","41,10","40,50","40,60","170,62M"
14/04/2011,"39,10","40,20","38,90","40,00","55,24M"
15/04/2011,"39,70","39,70","39,00","39,60","3,68M"
18/04/2011,"39,00","39,00","39,00","39,00","144,89K"
19/04/2011,"40,00","40,00","39,80","39,80","9,21M"
20/04/2011,"40,40","40,60","40,40","40,50","7,41M"
25/04/2011,"40,80","40,80","40,00","40,50","31,53M"
26/04/2011,"40,90","41,90","40,60","41,90","41,51M"
27/04/2011,"40,80","40,80","40,60","40,60","2,27M"
28/04/2011,"40,80","40,90","40,40","40,80","27,19M"
29/04/2011,"40,60","41,00","40,50","40,80","23,86M"
02/05/2011,"40,40","40,60","40,10","40,20","10,21M"
03/05/2011,"40,00","40,40","40,00","40,00","8,66M"
04/05/2011,"40,70","40,70","39,70","39,70","8,87M"
05/05/2011,"39,70","40,00","39,70","40,00","1,85M"
06/05/2011,"40,40","40,40","39,70","39,70","12,45M"
09/05/2011,"40,60","40,60","40,00","40,40","5,20M"
10/05/2011,"41,00","41,00","40,70","40,70","56,18M"
11/05/2011,"41,20","42,00","41,20","41,50","19,85M"
12/05/2011,"41,00","41,30","41,00","41,30","94,04M"
13/05/2011,"41,20","41,20","40,90","40,90","114,82M"
16/05/2011,"41,40","41,40","40,20","40,20","5,60M"
17/05/2011,"41,00","41,00","41,00","41,00","2,31M"
02/06/2011,"43,40","43,90","43,10","43,20","108,12M"
03/06/2011,"44,30","44,30","43,40","43,40","69,06M"
07/06/2011,"44,50","45,00","44,00","44,10","257,00M"
