Data,Último,Máximo,Mínimo,Abertura,Volume
23/12/2010,"1.645,00","1.690,00","1.575,00","1.575,00","22,14M"
24/12/2010,"1.615,00","1.650,00","1.615,00","1.645,00","2,34M"
27/12/2010,"1.665,00","1.665,00","1.605,00","1.615,00","4,66M"
28/12/2010,"1.650,00","1.655,00","1.655,00","1.655,00","3,34M"
29/12/2010,"1.660,00","1.670,00","1.640,00","1.640,00","1,10M"
30/12/2010,"1.690,00","1.690,00","1.665,00","1.670,00","1,69M"
03/01/2011,"1.650,00","1.680,00","1.650,00","1.670,00","2,26M"
04/01/2011,"1.665,00","1.665,00","1.650,00","1.650,00","1,24M"
05/01/2011,"1.650,00","1.675,00","1.650,00","1.660,00","436,30K"
06/01/2011,"1.650,00","1.660,00","1.650,00","1.650,00","626,92K"
07/01/2011,"1.660,00","1.670,00","1.655,00","1.655,00","345,05K"
11/01/2011,"1.630,00","1.650,00","1.630,00","1.650,00","1,76M"
12/01/2011,"1.650,00","1.655,00","1.625,00","1.630,00","2,16M"
13/01/2011,"1.650,00","1.660,00","1.635,00","1.640,00","763,48K"
14/01/2011,"1.640,00","1.655,00","1.635,00","1.645,00","404,63K"
17/01/2011,"1.650,00","1.650,00","1.635,00","1.640,00","747,81K"
18/01/2011,"1.650,00","1.660,00","1.640,00","1.640,00","1,77M"
19/01/2011,"1.650,00","1.650,00","1.635,00","1.650,00","1,08M"
20/01/2011,"1.630,00","1.645,00","1.620,00","1.630,00","988,89K"
21/01/2011,"1.640,00","1.640,00","1.620,00","1.620,00","1,85M"
24/01/2011,"1.600,00","1.640,00","1.600,00","1.640,00","531,38K"
25/01/2011,"1.605,00","1.605,00","1.550,00","1.580,00","1,08M"
26/01/2011,"1.620,00","1.620,00","1.575,00","1.580,00","1,61M"
27/01/2011,"1.620,00","1.630,00","1.610,00","1.610,00","931,08K"
28/01/2011,"1.620,00","1.625,00","1.605,00","1.615,00","561,66K"
31/01/2011,"1.610,00","1.620,00","1.560,00","1.560,00","427,91K"
01/02/2011,"1.610,00","1.610,00","1.590,00","1.590,00","524,09K"
02/02/2011,"1.600,00","1.610,00","1.580,00","1.610,00","313,61K"
03/02/2011,"1.595,00","1.595,00","1.565,00","1.580,00","2,92M"
04/02/2011,"1.590,00","1.580,00","1.560,00","1.580,00","224,30K"
07/02/2011,"1.570,00","1.595,00","1.565,00","1.580,00","847,31K"
08/02/2011,"1.570,00","1.570,00","1.530,00","1.530,00","728,46K"
09/02/2011,"1.550,00","1.575,00","1.535,00","1.535,00","752,93K"
10/02/2011,"1.520,00","1.530,00","1.510,00","1.510,00","101,56K"
11/02/2011,"1.565,00","1.565,00","1.515,00","1.515,00","881,24K"
14/02/2011,"1.565,00","1.575,00","1.555,00","1.565,00","633,00K"
15/02/2011,"1.550,00","1.580,00","1.535,00","1.565,00","204,61K"
16/02/2011,"1.580,00","1.585,00","1.550,00","1.550,00","371,77K"
17/02/2011,"1.540,00","1.555,00","1.535,00","1.550,00","748,25K"
18/02/2011,"1.520,00","1.545,00","1.520,00","1.540,00","797,72K"
21/02/2011,"1.530,00","1.540,00","1.500,00","1.500,00","310,45K"
22/02/2011,"1.565,00","1.570,00","1.510,00","1.530,00","1,01M"
23/02/2011,"1.565,00","1.580,00","1.540,00","1.540,00","165,08K"
24/02/2011,"1.585,00","1.600,00","1.545,00","1.545,00","580,10K"
25/02/2011,"1.580,00","1.580,00","1.525,00","1.525,00","145,77K"
28/02/2011,"1.585,00","1.605,00","1.580,00","1.585,00","628,19K"
01/03/2011,"1.570,00","1.590,00","1.540,00","1.590,00","1,12M"
02/03/2011,"1.565,00","1.580,00","1.555,00","1.555,00","320,86K"
03/03/2011,"1.555,00","1.590,00","1.550,00","1.550,00","587,65K"
04/03/2011,"1.570,00","1.580,00","1.560,00","1.560,00","479,68K"
07/03/2011,"1.560,00","1.565,00","1.540,00","1.555,00","1,60M"
08/03/2011,"1.565,00","1.570,00","1.545,00","1.545,00","556,36K"
09/03/2011,"1.530,00","1.580,00","1.530,00","1.570,00","650,43K"
10/03/2011,"1.535,00","1.545,00","1.530,00","1.535,00","218,53K"
11/03/2011,"1.495,00","1.530,00","1.450,00","1.530,00","723,10K"
14/03/2011,"1.465,00","1.500,00","1.460,00","1.460,00","463,03K"
15/03/2011,"1.440,00","1.460,00","1.410,00","1.460,00","533,17K"
16/03/2011,"1.435,00","1.460,00","1.400,00","1.400,00","848,45K"
17/03/2011,"1.515,00","1.515,00","1.420,00","1.425,00","782,39K"
18/03/2011,"1.505,00","1.520,00","1.500,00","1.500,00","312,61K"
22/03/2011,"1.545,00","1.555,00","1.525,00","1.530,00","680,85K"
23/03/2011,"1.545,00","1.545,00","1.515,00","1.515,00","338,85K"
24/03/2011,"1.560,00","1.560,00","1.520,00","1.520,00","721,53K"
25/03/2011,"1.530,00","1.565,00","1.530,00","1.565,00","136,43K"
28/03/2011,"1.510,00","1.525,00","1.510,00","1.510,00","57,94K"
29/03/2011,"1.525,00","1.535,00","1.480,00","1.480,00","189,00K"
30/03/2011,"1.545,00","1.550,00","1.490,00","1.490,00","238,98K"
31/03/2011,"1.540,00","1.560,00","1.530,00","1.545,00","353,21K"
