Data,Último,Máximo,Mínimo,Abertura,Volume
10/04/2012,"1.360,00","1.445,00","1.360,00","1.430,00","4,33M"
11/04/2012,"1.360,00","1.360,00","1.300,00","1.360,00","948,19K"
12/04/2012,"1.385,00","1.385,00","1.370,00","1.385,00","788,16K"
13/04/2012,"1.390,00","1.395,00","1.390,00","1.390,00","389,12K"
16/04/2012,"1.375,00","1.385,00","1.375,00","1.385,00","149,74K"
17/04/2012,"1.350,00","1.370,00","1.350,00","1.365,00","1,52M"
18/04/2012,"1.355,00","1.370,00","1.355,00","1.370,00","386,33K"
19/04/2012,"1.380,00","1.380,00","1.350,00","1.355,00","467,23K"
20/04/2012,"1.365,00","1.380,00","1.365,00","1.365,00","481,10K"
23/04/2012,"1.360,00","1.365,00","1.350,00","1.365,00","233,60K"
24/04/2012,"1.350,00","1.355,00","1.350,00","1.350,00","382,17K"
25/04/2012,"1.350,00","1.350,00","1.330,00","1.350,00","516,82K"
26/04/2012,"1.350,00","1.350,00","1.345,00","1.345,00","373,30K"
27/04/2012,"1.340,00","1.350,00","1.340,00","1.350,00","203,46K"
30/04/2012,"1.335,00","1.365,00","1.320,00","1.320,00","95,86K"
02/05/2012,"1.340,00","1.345,00","1.340,00","1.345,00","360,25K"
03/05/2012,"1.335,00","1.350,00","1.335,00","1.350,00","1,39M"
04/05/2012,"1.335,00","1.340,00","1.335,00","1.340,00","702,42K"
07/05/2012,"1.320,00","1.320,00","1.315,00","1.315,00","179,85K"
08/05/2012,"1.310,00","1.320,00","1.310,00","1.315,00","245,43K"
09/05/2012,"1.325,00","1.325,00","1.325,00","1.325,00","3,74M"
10/05/2012,"1.310,00","1.315,00","1.310,00","1.315,00","787,22K"
11/05/2012,"1.290,00","1.300,00","1.290,00","1.300,00","231,16K"
14/05/2012,"1.275,00","1.290,00","1.275,00","1.290,00","264,22K"
15/05/2012,"1.250,00","1.260,00","1.250,00","1.260,00","312,50K"
16/05/2012,"1.240,00","1.250,00","1.220,00","1.220,00","108,67K"
17/05/2012,"1.200,00","1.210,00","1.200,00","1.200,00","1,29M"
18/05/2012,"1.215,00","1.215,00","1.215,00","1.215,00","2,32M"
22/05/2012,"1.210,00","1.210,00","1.210,00","1.210,00","64,16K"
23/05/2012,"1.260,00","1.260,00","1.180,00","1.180,00","206,96K"
24/05/2012,"1.220,00","1.220,00","1.200,00","1.200,00","250,39K"
