Data,Último,Máximo,Mínimo,Abertura,Volume
19/11/2010,"12,70","13,10","12,70","12,90","6,52M"
22/11/2010,"12,50","12,80","12,50","12,80","3,77M"
24/11/2010,"13,40","13,40","13,00","13,00","42,70M"
25/11/2010,"13,00","13,50","13,00","13,50","37,85M"
26/11/2010,"13,40","13,40","12,80","12,80","8,99M"
29/11/2010,"13,00","13,20","12,80","13,20","2,76M"
30/11/2010,"13,10","13,30","13,00","13,00","14,03M"
01/12/2010,"13,00","13,20","12,90","13,20","13,95M"
02/12/2010,"13,20","13,20","13,00","13,00","4,13M"
03/12/2010,"13,50","13,50","13,00","13,20","86,48M"
06/12/2010,"13,30","13,80","13,30","13,50","144,97M"
07/12/2010,"13,30","13,70","13,30","13,70","38,12M"
09/12/2010,"13,00","13,40","13,00","13,20","58,90M"
10/12/2010,"13,00","13,30","13,00","13,20","25,24M"
13/12/2010,"13,00","13,20","13,00","13,20","32,44M"
14/12/2010,"13,30","13,30","13,00","13,10","39,79M"
15/12/2010,"13,00","13,10","12,90","13,10","21,64M"
16/12/2010,"12,80","13,00","12,70","12,90","17,26M"
17/12/2010,"12,60","13,00","12,50","12,90","174,10M"
20/12/2010,"12,50","12,80","12,40","12,60","47,60M"
21/12/2010,"12,80","12,80","12,30","12,30","87,32M"
22/12/2010,"12,70","12,80","12,00","12,50","1,25B"
23/12/2010,"12,70","12,70","12,50","12,60","29,32M"
24/12/2010,"12,80","12,80","12,70","12,80","7,74M"
27/12/2010,"12,70","12,80","12,70","12,80","17,24M"
29/12/2010,"12,60","12,60","12,40","12,40","3,00M"
30/12/2010,"12,70","12,70","12,70","12,70","21,37M"
03/01/2011,"12,60","12,70","12,60","12,70","2,73M"
04/01/2011,"12,60","12,80","12,60","12,80","398,25K"
05/01/2011,"12,80","12,80","12,50","12,60","18,19M"
06/01/2011,"12,70","12,70","12,40","12,40","1,24M"
07/01/2011,"12,40","12,40","12,40","12,40","2,29M"
11/01/2011,"12,80","13,30","12,70","12,70","462,03M"
12/01/2011,"13,00","13,20","12,90","12,90","71,96M"
13/01/2011,"13,10","13,20","12,90","13,00","77,95M"
14/01/2011,"12,90","13,10","12,80","13,10","34,93M"
17/01/2011,"12,80","13,10","12,80","13,00","57,16M"
18/01/2011,"12,60","12,90","12,50","12,80","75,68M"
19/01/2011,"12,70","12,70","12,50","12,60","14,08M"
20/01/2011,"12,50","12,50","12,40","12,50","17,65M"
21/01/2011,"13,50","13,60","12,70","12,70","782,03M"
24/01/2011,"13,80","14,10","13,50","13,50","447,44M"
25/01/2011,"14,50","14,80","13,60","13,80","517,08M"
26/01/2011,"14,50","15,20","14,50","14,70","502,65M"
27/01/2011,"15,00","15,40","14,40","14,70","755,34M"
28/01/2011,"14,90","15,40","14,70","15,10","415,41M"
31/01/2011,"14,80","15,00","14,80","15,00","62,47M"
01/02/2011,"14,70","15,00","14,60","14,70","145,48M"
02/02/2011,"14,40","14,90","14,40","14,70","101,97M"
03/02/2011,"14,80","14,90","14,50","14,60","195,39M"
04/02/2011,"14,20","14,40","14,10","14,40","102,97M"
07/02/2011,"13,80","14,10","13,60","14,10","95,05M"
08/02/2011,"14,00","14,30","13,30","13,40","137,98M"
09/02/2011,"14,00","14,40","13,80","13,90","156,03M"
10/02/2011,"14,00","14,20","13,90","14,10","3,58M"
11/02/2011,"14,00","14,20","13,90","14,20","53,08M"
14/02/2011,"14,10","14,10","14,10","14,10","15,95M"
15/02/2011,"14,00","14,30","13,90","14,00","50,96M"
16/02/2011,"14,20","14,20","14,00","14,00","125,73M"
17/02/2011,"14,00","14,40","13,90","14,30","86,52M"
18/02/2011,"13,80","14,10","13,50","14,10","181,84M"
21/02/2011,"14,00","14,30","13,90","14,00","424,39M"
22/02/2011,"13,90","14,10","13,90","14,00","55,22M"
23/02/2011,"14,10","14,10","14,00","14,00","57,24M"
24/02/2011,"14,10","14,20","14,10","14,20","15,01M"
25/02/2011,"14,00","14,10","13,90","14,00","30,21M"
28/02/2011,"14,10","14,20","14,00","14,10","25,35M"
01/03/2011,"14,10","14,20","14,00","14,10","56,53M"
02/03/2011,"14,40","14,60","14,00","14,00","288,95M"
03/03/2011,"15,40","15,40","14,60","14,60","512,46M"
04/03/2011,"15,00","15,80","14,70","15,50","650,92M"
07/03/2011,"14,90","15,30","14,70","15,20","138,12M"
08/03/2011,"14,80","15,10","14,70","15,00","78,13M"
09/03/2011,"15,20","15,20","14,90","14,90","111,54M"
10/03/2011,"14,90","15,40","14,80","15,30","123,63M"
11/03/2011,"15,30","15,30","14,70","15,00","129,75M"
14/03/2011,"15,00","15,50","15,00","15,40","83,04M"
15/03/2011,"14,70","15,00","14,70","14,90","122,47M"
16/03/2011,"14,70","14,80","14,30","14,60","78,32M"
17/03/2011,"14,60","15,20","14,60","14,80","190,25M"
18/03/2011,"14,70","15,00","14,60","15,00","33,72M"
22/03/2011,"14,70","14,80","14,70","14,70","7,43M"
23/03/2011,"14,70","15,00","14,70","14,90","54,94M"
24/03/2011,"14,90","15,00","14,60","14,70","30,92M"
25/03/2011,"15,10","15,60","15,00","15,00","394,19M"
28/03/2011,"15,20","15,40","15,10","15,40","283,31M"
29/03/2011,"14,80","15,20","14,80","15,10","55,19M"
30/03/2011,"14,70","14,90","14,70","14,80","40,39M"
31/03/2011,"14,90","15,00","14,70","14,70","19,11M"
01/04/2011,"14,90","14,90","14,80","14,80","16,54M"
04/04/2011,"14,70","14,90","14,70","14,80","29,78M"
05/04/2011,"14,60","14,70","14,60","14,60","7,14M"
06/04/2011,"14,70","15,10","14,70","14,80","193,66M"
07/04/2011,"14,70","14,90","14,70","14,90","55,63M"
08/04/2011,"14,60","14,90","14,60","14,90","29,34M"
11/04/2011,"14,40","14,50","14,20","14,50","54,82M"
12/04/2011,"14,20","14,50","14,20","14,50","13,93M"
13/04/2011,"14,10","14,30","14,10","14,20","10,88M"
14/04/2011,"14,00","14,20","14,00","14,20","19,62M"
15/04/2011,"13,90","14,00","13,50","13,90","40,91M"
18/04/2011,"13,50","14,30","13,50","14,00","9,38M"
19/04/2011,"13,80","13,80","13,60","13,60","232,84K"
20/04/2011,"14,10","14,30","13,90","13,90","36,29M"
25/04/2011,"13,90","14,10","13,80","13,80","15,90M"
26/04/2011,"13,90","13,90","13,80","13,90","3,79M"
27/04/2011,"13,70","13,90","13,70","13,80","20,61M"
28/04/2011,"13,90","13,90","13,50","13,50","25,95M"
29/04/2011,"13,70","14,00","13,70","13,80","31,09M"
02/05/2011,"13,60","13,70","13,60","13,70","7,00M"
03/05/2011,"13,40","13,80","13,40","13,70","39,53M"
04/05/2011,"13,40","13,60","13,40","13,60","12,13M"
05/05/2011,"13,20","13,50","13,20","13,50","46,14M"
06/05/2011,"13,00","13,50","13,00","13,50","37,37M"
09/05/2011,"13,10","13,10","12,80","12,80","17,54M"
10/05/2011,"13,00","13,40","13,00","13,10","46,31M"
11/05/2011,"12,90","13,10","12,90","13,00","34,29M"
12/05/2011,"13,60","13,60","13,00","13,00","55,42M"
13/05/2011,"13,70","14,20","13,70","13,70","192,97M"
16/05/2011,"14,00","14,10","13,90","13,90","19,78M"
17/05/2011,"13,30","13,70","13,30","13,50","83,54M"
02/06/2011,"13,00","13,10","12,80","12,80","55,36M"
03/06/2011,"12,90","13,00","12,90","13,00","19,53M"
07/06/2011,"12,90","12,90","12,80","12,90","22,41M"
08/06/2011,"13,10","13,20","12,80","12,80","36,51M"
09/06/2011,"12,80","13,00","12,80","12,90","36,12M"
14/06/2011,"13,00","13,10","12,80","12,80","103,82M"
15/06/2011,"12,80","12,80","12,60","12,80","18,47M"
16/06/2011,"12,90","13,00","12,80","12,90","75,34M"
17/06/2011,"12,90","13,00","12,60","12,60","34,00M"
20/06/2011,"13,50","13,60","12,90","12,90","359,14M"
21/06/2011,"13,50","13,90","13,50","13,70","220,65M"
22/06/2011,"13,40","13,60","13,40","13,60","25,29M"
23/06/2011,"13,20","13,20","13,20","13,20","12,05M"
24/06/2011,"12,90","13,20","12,90","13,20","38,51M"
28/06/2011,"13,00","13,00","13,00","13,00","4,51M"
29/06/2011,"13,60","13,60","13,10","13,10","50,71M"
30/06/2011,"13,30","13,50","13,30","13,50","112,13M"
01/07/2011,"13,40","13,40","13,30","13,30","19,56M"
05/07/2011,"13,40","13,40","13,40","13,40","3,91M"
06/07/2011,"12,90","13,50","12,90","13,40","59,54M"
07/07/2011,"12,80","13,10","12,80","13,00","61,45M"
08/07/2011,"12,50","12,90","12,50","12,90","80,81M"
11/07/2011,"12,20","12,60","12,20","12,60","71,87M"
12/07/2011,"12,40","12,40","12,40","12,40","28,28M"
13/07/2011,"12,30","12,60","12,30","12,60","12,05M"
14/07/2011,"12,20","12,50","11,80","12,30","727,91M"
15/07/2011,"12,00","12,00","11,10","12,00","119,74M"
18/07/2011,"11,90","11,90","11,60","11,60","12,89M"
19/07/2011,"12,30","12,30","12,20","12,20","38,80M"
21/07/2011,"12,40","12,60","12,40","12,60","26,82M"
22/07/2011,"12,40","12,40","12,20","12,20","6,38M"
25/07/2011,"12,30","12,40","12,10","12,20","47,01M"
26/07/2011,"12,00","12,40","11,80","12,40","109,65M"
27/07/2011,"11,90","12,00","11,40","11,60","129,25M"
28/07/2011,"12,10","12,10","12,00","12,00","21,22M"
29/07/2011,"12,10","12,10","12,10","12,10","7,69M"
01/08/2011,"12,10","12,30","12,10","12,20","65,28M"
02/08/2011,"12,20","12,20","12,00","12,20","42,89M"
03/08/2011,"12,20","12,20","11,90","12,20","42,98M"
04/08/2011,"11,80","12,00","11,80","12,00","12,76M"
