Data,Último,Máximo,Mínimo,Abertura,Volume
19/11/2010,"691,00","718,00","688,00","718,00","3,90M"
22/11/2010,"676,00","697,00","672,00","691,00","2,89M"
23/11/2010,"665,00","674,00","650,00","650,00","1,43M"
24/11/2010,"678,00","680,00","668,00","676,00","2,97M"
25/11/2010,"677,00","715,00","660,00","680,00","2,97M"
26/11/2010,"662,00","680,00","650,00","660,00","423,89K"
29/11/2010,"673,00","680,00","655,00","668,00","572,88K"
30/11/2010,"660,00","670,00","660,00","670,00","791,19K"
01/12/2010,"659,00","679,00","651,00","651,00","739,86K"
02/12/2010,"689,00","689,00","661,00","661,00","1,68M"
03/12/2010,"670,00","704,00","665,00","690,00","2,33M"
06/12/2010,"670,00","680,00","669,00","670,00","679,27K"
07/12/2010,"665,00","692,00","665,00","692,00","803,84K"
09/12/2010,"664,00","670,00","658,00","665,00","680,12K"
10/12/2010,"674,00","674,00","656,00","664,00","426,62K"
13/12/2010,"670,00","678,00","659,00","677,00","1,75M"
14/12/2010,"660,00","680,00","649,00","670,00","6,41M"
15/12/2010,"670,00","682,00","651,00","677,00","6,95M"
16/12/2010,"702,00","708,00","670,00","670,00","6,31M"
17/12/2010,"701,00","720,00","700,00","710,00","8,93M"
20/12/2010,"670,00","702,00","670,00","690,00","5,08M"
21/12/2010,"673,00","680,00","670,00","670,00","1,37M"
22/12/2010,"671,00","692,00","671,00","692,00","2,51M"
23/12/2010,"676,00","680,00","671,00","674,00","2,78M"
24/12/2010,"675,00","682,00","675,00","682,00","827,04K"
27/12/2010,"672,00","675,00","667,00","675,00","2,35M"
28/12/2010,"670,00","675,00","675,00","675,00","339,75K"
29/12/2010,"669,00","670,00","665,00","670,00","323,35K"
30/12/2010,"670,00","683,00","665,00","665,00","1,95M"
03/01/2011,"671,00","682,00","666,00","682,00","138,38K"
04/01/2011,"665,00","671,00","665,00","670,00","521,34K"
05/01/2011,"668,00","680,00","667,00","667,00","504,67K"
06/01/2011,"655,00","670,00","655,00","670,00","480,63K"
07/01/2011,"655,00","660,00","655,00","655,00","51,49K"
11/01/2011,"652,00","657,00","650,00","656,00","304,83K"
12/01/2011,"661,00","666,00","652,00","652,00","486,93K"
13/01/2011,"654,00","666,00","650,00","653,00","835,12K"
14/01/2011,"650,00","661,00","650,00","651,00","1,66M"
17/01/2011,"655,00","660,00","650,00","650,00","2,16M"
18/01/2011,"668,00","668,00","651,00","658,00","2,10M"
19/01/2011,"661,00","664,00","654,00","663,00","300,33K"
20/01/2011,"650,00","657,00","649,00","653,00","1,31M"
21/01/2011,"658,00","658,00","647,00","647,00","721,25K"
24/01/2011,"643,00","654,00","643,00","651,00","391,11K"
25/01/2011,"640,00","642,00","635,00","642,00","1,25M"
26/01/2011,"637,00","638,00","616,00","636,00","1,82M"
27/01/2011,"636,00","643,00","635,00","640,00","673,81K"
28/01/2011,"625,00","643,00","619,00","640,00","1,83M"
31/01/2011,"625,00","626,00","620,00","620,00","388,49K"
01/02/2011,"597,00","620,00","591,00","620,00","4,44M"
02/02/2011,"590,00","600,00","590,00","592,00","705,31K"
03/02/2011,"611,00","612,00","590,00","590,00","461,69K"
04/02/2011,"590,00","602,00","585,00","602,00","3,27M"
07/02/2011,"591,00","601,00","590,00","601,00","815,76K"
08/02/2011,"595,00","601,00","594,00","594,00","854,20K"
09/02/2011,"585,00","601,00","585,00","600,00","1,25M"
10/02/2011,"585,00","590,00","585,00","590,00","35,03K"
11/02/2011,"580,00","591,00","563,00","583,00","1,69M"
14/02/2011,"584,00","585,00","574,00","580,00","177,97K"
15/02/2011,"595,00","607,00","585,00","585,00","1,10M"
16/02/2011,"608,00","608,00","589,00","595,00","1,15M"
17/02/2011,"606,00","624,00","606,00","608,00","2,34M"
18/02/2011,"605,00","611,00","590,00","611,00","950,76K"
21/02/2011,"604,00","610,00","604,00","604,00","491,27K"
22/02/2011,"598,00","612,00","597,00","604,00","985,23K"
23/02/2011,"596,00","600,00","596,00","597,00","219,57K"
24/02/2011,"568,00","580,00","568,00","575,00","1,13M"
25/02/2011,"578,00","578,00","568,00","570,00","890,93K"
28/02/2011,"572,00","579,00","550,00","578,00","827,96K"
01/03/2011,"560,00","570,00","555,00","570,00","1,95M"
02/03/2011,"567,00","567,00","556,00","557,00","225,19K"
03/03/2011,"551,00","570,00","551,00","567,00","1,18M"
04/03/2011,"561,00","561,00","547,00","553,00","2,52M"
07/03/2011,"571,00","574,00","553,00","561,00","2,54M"
08/03/2011,"581,00","609,00","574,00","574,00","7,08M"
09/03/2011,"611,00","611,00","576,00","583,00","8,12M"
10/03/2011,"662,00","630,00","613,00","613,00","15,82M"
11/03/2011,"637,00","669,00","630,00","664,00","5,83M"
14/03/2011,"631,00","638,00","625,00","631,00","2,33M"
15/03/2011,"630,00","636,00","617,00","625,00","2,22M"
16/03/2011,"622,00","630,00","620,00","628,00","1,57M"
17/03/2011,"655,00","655,00","632,00","640,00","3,47M"
18/03/2011,"694,00","699,00","640,00","660,00","11,00M"
22/03/2011,"656,00","730,00","656,00","700,00","17,88M"
23/03/2011,"700,00","710,00","656,00","678,00","11,75M"
24/03/2011,"695,00","719,00","693,00","703,00","4,44M"
25/03/2011,"690,00","707,00","686,00","700,00","1,41M"
28/03/2011,"677,00","683,00","675,00","683,00","1,31M"
29/03/2011,"662,00","676,00","661,00","676,00","684,65K"
30/03/2011,"660,00","684,00","657,00","660,00","863,12K"
31/03/2011,"672,00","680,00","660,00","660,00","1,48M"
01/04/2011,"669,00","679,00","666,00","666,00","312,55K"
04/04/2011,"662,00","676,00","656,00","660,00","725,06K"
05/04/2011,"641,00","658,00","641,00","657,00","789,67K"
06/04/2011,"618,00","640,00","611,00","635,00","4,24M"
07/04/2011,"625,00","625,00","610,00","615,00","1,68M"
08/04/2011,"637,00","637,00","615,00","615,00","958,25K"
11/04/2011,"615,00","631,00","611,00","631,00","537,75K"
12/04/2011,"611,00","615,00","610,00","614,00","909,60K"
13/04/2011,"600,00","610,00","596,00","610,00","933,91K"
14/04/2011,"599,00","600,00","587,00","595,00","1,25M"
15/04/2011,"608,00","611,00","587,00","596,00","305,49K"
18/04/2011,"600,00","602,00","580,00","581,00","352,77K"
19/04/2011,"603,00","604,00","595,00","600,00","219,00K"
20/04/2011,"625,00","635,00","596,00","596,00","409,61K"
25/04/2011,"612,00","612,00","600,00","601,00","164,43K"
26/04/2011,"618,00","618,00","602,00","602,00","363,10K"
27/04/2011,"633,00","647,00","619,00","619,00","1,20M"
28/04/2011,"650,00","650,00","615,00","615,00","910,95K"
29/04/2011,"650,00","670,00","643,00","650,00","2,17M"
02/05/2011,"628,00","669,00","628,00","665,00","886,97K"
03/05/2011,"620,00","634,00","614,00","628,00","824,33K"
04/05/2011,"619,00","620,00","605,00","614,00","977,49K"
05/05/2011,"605,00","634,00","604,00","609,00","461,03K"
06/05/2011,"620,00","620,00","605,00","610,00","240,89K"
09/05/2011,"620,00","620,00","602,00","605,00","458,31K"
10/05/2011,"613,00","631,00","613,00","620,00","737,72K"
11/05/2011,"605,00","607,00","604,00","607,00","703,62K"
12/05/2011,"606,00","606,00","605,00","605,00","354,63K"
13/05/2011,"617,00","620,00","612,00","612,00","375,15K"
16/05/2011,"617,00","617,00","617,00","617,00","82,40K"
17/05/2011,"640,00","640,00","615,00","615,00","1,19M"
02/06/2011,"707,00","707,00","690,00","690,00","5,03M"
03/06/2011,"719,00","725,00","693,00","710,00","13,68M"
07/06/2011,"745,00","745,00","724,00","725,00","10,50M"
08/06/2011,"725,00","750,00","711,00","744,00","11,60M"
09/06/2011,"725,00","749,00","725,00","749,00","5,85M"
14/06/2011,"725,00","725,00","708,00","708,00","4,20M"
15/06/2011,"690,00","704,00","689,00","698,00","3,78M"
16/06/2011,"700,00","707,00","680,00","680,00","5,95M"
17/06/2011,"705,00","720,00","705,00","713,00","3,49M"
20/06/2011,"711,00","715,00","700,00","700,00","1,24M"
21/06/2011,"705,00","722,00","705,00","719,00","4,05M"
22/06/2011,"697,00","705,00","690,00","705,00","2,15M"
23/06/2011,"697,00","697,00","697,00","697,00","207,06K"
24/06/2011,"690,00","696,00","690,00","696,00","246,62K"
28/06/2011,"700,00","700,00","683,00","688,00","774,40K"
29/06/2011,"710,00","710,00","700,00","700,00","2,34M"
30/06/2011,"705,00","710,00","705,00","705,00","840,64K"
01/07/2011,"731,00","733,00","710,00","713,00","3,30M"
05/07/2011,"755,00","759,00","720,00","724,00","8,57M"
06/07/2011,"753,00","765,00","747,00","753,00","4,26M"
07/07/2011,"737,00","743,00","735,00","743,00","5,23M"
08/07/2011,"737,00","737,00","725,00","729,00","897,99K"
11/07/2011,"739,00","757,00","737,00","737,00","3,78M"
12/07/2011,"729,00","737,00","726,00","735,00","1,21M"
13/07/2011,"644,00","720,00","644,00","720,00","5,37M"
14/07/2011,"630,00","650,00","630,00","650,00","1,18M"
15/07/2011,"630,00","636,00","630,00","630,00","335,32K"
18/07/2011,"596,00","625,00","596,00","625,00","1,03M"
19/07/2011,"628,00","628,00","600,00","600,00","844,26K"
21/07/2011,"601,00","628,00","601,00","628,00","737,35K"
22/07/2011,"617,00","617,00","607,00","607,00","604,27K"
25/07/2011,"590,00","607,00","560,00","607,00","4,27M"
26/07/2011,"573,00","584,00","570,00","584,00","1,86M"
27/07/2011,"550,00","566,00","550,00","560,00","5,33M"
28/07/2011,"543,00","550,00","540,00","550,00","2,84M"
29/07/2011,"540,00","550,00","537,00","544,00","1,15M"
01/08/2011,"559,00","560,00","543,00","550,00","1,97M"
02/08/2011,"550,00","560,00","550,00","559,00","1,96M"
03/08/2011,"542,00","550,00","533,00","549,00","2,73M"
04/08/2011,"531,00","539,00","530,00","539,00","1,13M"
05/08/2011,"531,00","531,00","530,00","530,00","273,29K"
08/08/2011,"530,00","537,00","510,00","510,00","2,14M"
09/08/2011,"530,00","537,00","530,00","530,00","1,42M"
10/08/2011,"545,00","545,00","530,00","530,00","1,51M"
11/08/2011,"538,00","543,00","538,00","540,00","1,35M"
12/08/2011,"540,00","541,00","540,00","541,00","343,86K"
16/08/2011,"552,00","562,00","530,00","545,00","3,60M"
17/08/2011,"540,00","548,00","540,00","548,00","628,15K"
18/08/2011,"534,00","539,00","521,00","534,00","1,25M"
19/08/2011,"537,00","537,00","528,00","528,00","425,32K"
22/08/2011,"540,00","540,00","531,00","531,00","388,00K"
23/08/2011,"530,00","535,00","530,00","535,00","1,39M"
24/08/2011,"534,00","535,00","534,00","535,00","279,93K"
26/08/2011,"540,00","542,00","534,00","534,00","4,30M"
29/08/2011,"545,00","547,00","539,00","539,00","576,44K"
30/08/2011,"542,00","545,00","542,00","545,00","208,41K"
31/08/2011,"530,00","547,00","530,00","542,00","1,30M"
01/09/2011,"531,00","535,00","530,00","530,00","303,60K"
02/09/2011,"538,00","550,00","531,00","531,00","1,57M"
05/09/2011,"544,00","549,00","539,00","539,00","1,10M"
06/09/2011,"555,00","555,00","535,00","537,00","1,09M"
07/09/2011,"590,00","590,00","560,00","560,00","6,16M"
08/09/2011,"604,00","617,00","598,00","598,00","10,15M"
09/09/2011,"602,00","602,00","595,00","600,00","1,56M"
12/09/2011,"600,00","600,00","590,00","600,00","1,15M"
13/09/2011,"609,00","611,00","604,00","605,00","1,46M"
14/09/2011,"608,00","612,00","604,00","610,00","2,10M"
15/09/2011,"641,00","641,00","610,00","610,00","9,96M"
16/09/2011,"650,00","665,00","640,00","640,00","8,22M"
19/09/2011,"648,00","650,00","641,00","641,00","897,32K"
28/09/2011,"600,00","615,00","600,00","615,00","585,40K"
29/09/2011,"596,00","606,00","590,00","605,00","942,58K"
30/09/2011,"580,00","589,00","580,00","587,00","733,96K"
03/10/2011,"587,00","588,00","565,00","565,00","405,78K"
04/10/2011,"572,00","580,00","570,00","580,00","368,09K"
05/10/2011,"584,00","584,00","576,00","576,00","209,69K"
06/10/2011,"577,00","583,00","577,00","583,00","291,13K"
07/10/2011,"565,00","593,00","565,00","593,00","659,42K"
11/10/2011,"606,00","610,00","610,00","610,00","3,05M"
12/10/2011,"605,00","606,00","595,00","605,00","762,36K"
13/10/2011,"595,00","595,00","590,00","595,00","457,71K"
14/10/2011,"600,00","605,00","584,00","594,00","979,50K"
18/10/2011,"600,00","600,00","589,00","590,00","255,19K"
24/10/2011,"594,00","600,00","590,00","594,00","2,06M"
25/10/2011,"586,00","590,00","586,00","590,00","212,00K"
26/10/2011,"588,00","588,00","576,00","580,00","468,21K"
27/10/2011,"579,00","586,00","579,00","586,00","632,74K"
28/10/2011,"560,00","564,00","560,00","564,00","1,58M"
31/10/2011,"568,00","575,00","560,00","560,00","835,64K"
02/11/2011,"535,00","560,00","535,00","560,00","452,15K"
03/11/2011,"551,00","551,00","540,00","540,00","659,96K"
08/11/2011,"540,00","545,00","540,00","545,00","896,97K"
09/11/2011,"530,00","530,00","525,00","530,00","1,17M"
10/11/2011,"535,00","535,00","529,00","530,00","288,38K"
11/11/2011,"544,00","544,00","539,00","540,00","569,94K"
15/11/2011,"529,00","539,00","518,00","533,00","831,84K"
17/11/2011,"520,00","520,00","501,00","515,00","1,26M"
18/11/2011,"516,00","517,00","501,00","517,00","612,61K"
21/11/2011,"500,00","507,00","496,00","507,00","832,09K"
22/11/2011,"485,00","490,00","485,00","490,00","982,08K"
23/11/2011,"485,00","485,00","480,00","485,00","491,97K"
24/11/2011,"470,00","475,00","470,00","475,00","270,89K"
25/11/2011,"464,00","468,00","460,00","468,00","878,99K"
28/11/2011,"490,00","490,00","471,00","489,00","1,11M"
29/11/2011,"477,00","495,00","477,00","488,00","732,60K"
30/11/2011,"476,00","490,00","474,00","490,00","645,25K"
01/12/2011,"474,00","475,00","470,00","475,00","577,19K"
