Data,Último,Máximo,Mínimo,Abertura,Volume
19/11/2010,"27,20","27,30","26,70","27,20","31,68M"
22/11/2010,"27,00","27,00","26,30","26,60","14,90M"
23/11/2010,"26,60","27,00","26,30","26,50","3,76M"
24/11/2010,"26,80","27,00","26,80","26,80","8,58M"
25/11/2010,"27,40","27,60","27,00","27,20","49,21M"
26/11/2010,"26,80","26,90","26,80","26,90","434,25K"
29/11/2010,"26,90","27,80","26,80","27,60","16,22M"
30/11/2010,"27,30","27,50","26,70","27,40","50,92M"
01/12/2010,"26,90","27,30","26,80","26,90","13,71M"
02/12/2010,"26,90","27,30","26,60","26,90","16,41M"
03/12/2010,"27,00","27,00","26,60","26,60","6,52M"
06/12/2010,"26,70","26,70","26,70","26,70","218,33K"
07/12/2010,"27,00","27,30","26,20","27,10","29,73M"
09/12/2010,"26,90","27,10","26,50","27,00","9,30M"
10/12/2010,"26,30","26,90","26,20","26,50","21,17M"
13/12/2010,"26,50","26,70","26,20","26,70","40,14M"
14/12/2010,"26,40","26,50","26,00","26,00","6,64M"
15/12/2010,"26,20","26,40","26,00","26,40","33,47M"
16/12/2010,"26,00","26,30","26,00","26,30","3,60M"
17/12/2010,"26,20","26,20","25,70","25,80","50,68M"
20/12/2010,"26,30","26,50","26,20","26,30","11,94M"
21/12/2010,"26,50","26,50","26,00","26,00","15,59M"
22/12/2010,"26,80","26,90","26,20","26,20","20,50M"
23/12/2010,"26,60","26,60","26,10","26,10","9,78M"
24/12/2010,"26,60","26,60","26,40","26,60","2,33M"
27/12/2010,"26,40","26,80","26,40","26,60","14,68M"
30/12/2010,"26,90","26,90","26,40","26,40","9,33M"
03/01/2011,"26,30","26,30","26,30","26,30","14,00K"
04/01/2011,"26,40","26,40","26,40","26,40","37,44K"
05/01/2011,"26,30","26,50","26,30","26,40","5,53M"
06/01/2011,"26,20","26,20","26,10","26,10","1,63M"
07/01/2011,"25,90","25,90","25,90","25,90","275,20K"
11/01/2011,"27,00","27,00","26,00","26,00","22,93M"
12/01/2011,"27,20","27,30","27,00","27,00","29,22M"
13/01/2011,"27,40","27,40","27,00","27,40","6,56M"
14/01/2011,"28,00","28,00","27,10","27,30","78,98M"
17/01/2011,"28,70","29,40","28,20","28,20","152,57M"
18/01/2011,"28,20","29,30","28,20","29,10","64,50M"
19/01/2011,"29,10","29,40","27,90","28,50","79,17M"
20/01/2011,"28,60","29,40","28,60","29,40","27,59M"
21/01/2011,"29,40","29,90","28,10","28,10","76,58M"
24/01/2011,"29,30","30,00","29,30","29,70","72,04M"
25/01/2011,"29,60","29,70","29,00","29,50","112,33M"
26/01/2011,"29,20","29,80","28,90","29,60","69,35M"
27/01/2011,"30,00","30,50","29,00","29,20","219,47M"
28/01/2011,"30,40","31,20","30,20","30,30","227,64M"
31/01/2011,"30,80","31,50","30,00","30,70","177,82M"
01/02/2011,"29,70","31,00","29,70","30,70","46,40M"
02/02/2011,"29,90","30,50","29,50","29,70","35,25M"
03/02/2011,"30,10","30,90","30,10","30,50","96,62M"
04/02/2011,"30,00","30,00","29,70","30,00","39,96M"
07/02/2011,"30,60","30,60","29,70","30,40","82,37M"
08/02/2011,"30,50","31,40","30,50","30,60","75,90M"
09/02/2011,"30,20","31,00","30,20","30,90","31,91M"
11/02/2011,"29,50","30,70","29,20","30,70","32,35M"
14/02/2011,"29,40","29,90","29,30","29,90","6,05M"
15/02/2011,"30,30","30,30","29,90","29,90","3,81M"
16/02/2011,"30,00","30,20","29,50","29,50","14,56M"
17/02/2011,"30,00","30,30","30,00","30,10","4,70M"
18/02/2011,"29,70","29,70","29,40","29,50","10,75M"
21/02/2011,"30,00","30,40","29,90","29,90","11,91M"
24/02/2011,"30,40","31,00","30,00","30,30","121,15M"
25/02/2011,"30,40","30,50","29,90","30,50","7,96M"
28/02/2011,"31,20","31,30","30,40","30,40","79,83M"
01/03/2011,"31,00","31,30","30,80","31,30","16,06M"
02/03/2011,"32,50","33,20","31,10","31,50","274,00M"
03/03/2011,"36,30","36,30","32,50","32,50","286,52M"
04/03/2011,"35,70","38,50","34,50","36,50","492,74M"
07/03/2011,"35,10","37,40","34,80","35,70","204,23M"
08/03/2011,"35,00","36,90","34,40","35,10","319,74M"
09/03/2011,"38,30","38,30","35,40","35,40","240,53M"
10/03/2011,"41,00","41,00","37,80","38,60","322,97M"
11/03/2011,"41,50","43,50","41,00","41,50","318,51M"
14/03/2011,"40,80","43,40","39,80","41,00","81,82M"
15/03/2011,"39,40","41,50","39,40","40,50","91,20M"
16/03/2011,"39,00","40,80","38,00","39,40","33,97M"
18/03/2011,"42,70","42,70","39,60","40,80","92,18M"
22/03/2011,"44,00","44,30","42,90","43,00","128,25M"
23/03/2011,"44,90","45,80","43,80","43,80","174,74M"
24/03/2011,"44,90","46,30","44,90","45,70","122,54M"
25/03/2011,"45,00","45,90","44,80","45,50","56,61M"
28/03/2011,"45,00","46,30","45,00","45,50","61,23M"
29/03/2011,"44,40","45,10","44,30","45,10","19,70M"
30/03/2011,"41,80","44,90","41,80","44,30","62,41M"
31/03/2011,"41,90","43,80","41,50","42,80","92,06M"
01/04/2011,"42,20","43,00","41,90","42,50","76,62M"
04/04/2011,"42,30","43,70","42,00","42,00","130,81M"
05/04/2011,"42,70","43,40","42,10","42,40","54,08M"
06/04/2011,"45,20","45,50","43,50","43,50","191,27M"
07/04/2011,"44,30","46,40","44,30","45,50","143,58M"
08/04/2011,"44,40","45,70","44,00","44,30","68,11M"
11/04/2011,"45,10","45,20","44,20","45,10","63,22M"
12/04/2011,"44,80","45,40","44,00","44,00","52,57M"
13/04/2011,"44,60","45,10","44,10","45,10","19,04M"
14/04/2011,"43,50","44,70","42,90","44,70","7,72M"
15/04/2011,"43,50","44,00","43,10","43,10","15,93M"
18/04/2011,"43,50","45,10","43,50","44,60","20,35M"
19/04/2011,"44,00","44,00","42,40","43,00","7,59M"
20/04/2011,"44,10","44,20","43,30","44,20","17,50M"
25/04/2011,"43,60","44,50","43,60","44,50","5,61M"
26/04/2011,"43,50","45,00","43,50","44,00","69,53M"
27/04/2011,"43,40","43,90","43,30","43,90","7,85M"
28/04/2011,"44,20","44,30","43,40","43,90","97,42M"
29/04/2011,"44,00","44,30","43,50","44,30","39,17M"
02/05/2011,"45,40","45,80","43,50","44,20","196,04M"
03/05/2011,"46,70","47,50","45,70","45,70","283,16M"
04/05/2011,"48,30","48,30","47,00","47,40","292,84M"
05/05/2011,"48,50","50,00","48,30","48,30","436,15M"
06/05/2011,"47,10","50,00","47,10","49,50","287,43M"
09/05/2011,"48,10","49,00","47,50","48,00","90,41M"
10/05/2011,"50,00","50,50","48,00","48,00","314,23M"
11/05/2011,"51,50","52,00","50,50","50,50","187,52M"
12/05/2011,"52,00","53,50","52,00","53,00","167,07M"
13/05/2011,"52,50","53,50","51,00","52,50","206,67M"
16/05/2011,"51,00","52,50","50,50","52,50","93,08M"
17/05/2011,"49,00","51,50","49,00","50,50","127,69M"
02/06/2011,"59,50","60,50","58,00","59,00","216,14M"
03/06/2011,"59,00","59,50","58,50","58,50","29,75M"
07/06/2011,"59,00","59,00","58,50","59,00","46,29M"
08/06/2011,"62,50","63,00","59,00","59,00","374,45M"
09/06/2011,"60,50","64,00","60,50","62,00","193,87M"
14/06/2011,"61,00","63,00","61,00","61,00","304,80M"
15/06/2011,"60,00","62,00","59,50","62,00","79,81M"
