Data,Último,Máximo,Mínimo,Abertura,Volume
19/11/2010,"7.850,00","7.850,00","7.700,00","7.700,00","1,06K"
22/11/2010,"7.750,00","7.750,00","7.750,00","7.750,00","3,20K"
24/11/2010,"7.700,00","7.700,00","7.700,00","7.700,00","150,00"
25/11/2010,"7.550,00","7.700,00","7.550,00","7.700,00","29,56K"
26/11/2010,"7.480,00","7.600,00","7.300,00","7.600,00","9,36K"
29/11/2010,"7.550,00","7.580,00","7.550,00","7.580,00","3,42K"
30/11/2010,"7.600,00","7.600,00","7.600,00","7.600,00","2,66K"
01/12/2010,"7.500,00","7.500,00","7.400,00","7.400,00","5,16K"
02/12/2010,"7.500,00","7.500,00","7.500,00","7.500,00","38,81K"
03/12/2010,"7.560,00","7.560,00","7.500,00","7.500,00","27,74K"
06/12/2010,"7.800,00","7.800,00","7.560,00","7.560,00","255,37K"
07/12/2010,"7.710,00","7.900,00","7.710,00","7.800,00","79,16K"
09/12/2010,"7.800,00","7.800,00","7.500,00","7.500,00","46,10K"
10/12/2010,"7.800,00","8.000,00","7.800,00","8.000,00","4,25K"
13/12/2010,"7.760,00","7.760,00","7.550,00","7.550,00","40,64K"
14/12/2010,"7.760,00","7.800,00","7.760,00","7.760,00","49,19K"
15/12/2010,"7.800,00","7.800,00","7.800,00","7.800,00","150,00"
16/12/2010,"7.790,00","7.790,00","7.790,00","7.790,00","200,00"
17/12/2010,"8.000,00","8.000,00","7.540,00","7.800,00","1,26M"
20/12/2010,"8.010,00","8.110,00","8.010,00","8.090,00","281,53K"
21/12/2010,"8.150,00","8.150,00","8.010,00","8.010,00","28,05K"
22/12/2010,"8.140,00","8.140,00","8.140,00","8.140,00","1,50K"
23/12/2010,"8.200,00","8.200,00","8.080,00","8.150,00","550,95K"
24/12/2010,"8.290,00","8.290,00","8.290,00","8.290,00","1,33K"
27/12/2010,"8.250,00","8.280,00","8.200,00","8.200,00","86,76K"
29/12/2010,"8.350,00","8.350,00","8.290,00","8.290,00","400,00K"
30/12/2010,"8.450,00","8.450,00","8.300,00","8.350,00","63,79K"
03/01/2011,"8.480,00","8.480,00","8.400,00","8.400,00","428,92K"
04/01/2011,"8.520,00","8.520,00","8.520,00","8.520,00","300,00"
