Data,Último,Máximo,Mínimo,Abertura,Volume
19/11/2010,"32.320,00","32.320,00","32.320,00","32.320,00","1,00K"
22/11/2010,"33.000,00","33.000,00","33.000,00","33.000,00","115,00K"
25/11/2010,"33.500,00","33.500,00","33.500,00","33.500,00","1,00K"
26/11/2010,"33.000,00","33.000,00","33.000,00","33.000,00","100,12K"
02/12/2010,"33.000,00","33.000,00","33.000,00","33.000,00","8,25K"
06/12/2010,"33.120,00","33.120,00","33.040,00","33.040,00","9,79K"
09/12/2010,"33.240,00","33.240,00","33.240,00","33.240,00","2,83K"
10/12/2010,"33.240,00","33.240,00","33.240,00","33.240,00","2,35K"
13/12/2010,"33.420,00","33.420,00","33.420,00","33.420,00","562,00"
15/12/2010,"33.260,00","33.260,00","33.200,00","33.200,00","7,28K"
17/12/2010,"33.800,00","33.800,00","33.500,00","33.500,00","6,93K"
20/12/2010,"34.500,00","34.500,00","34.500,00","34.500,00","458,00"
22/12/2010,"34.500,00","34.500,00","34.500,00","34.500,00","2,90K"
27/12/2010,"34.200,00","34.200,00","34.200,00","34.200,00","10,00K"
05/01/2011,"34.180,00","34.180,00","34.180,00","34.180,00","90,00"
06/01/2011,"33.300,00","33.300,00","33.300,00","33.300,00","700,00"
13/01/2011,"33.200,00","33.200,00","33.200,00","33.200,00","33,00"
17/01/2011,"31.000,00","31.000,00","31.000,00","31.000,00","15,00K"
19/01/2011,"30.000,00","30.000,00","30.000,00","30.000,00","28,35K"
20/01/2011,"26.800,00","27.980,00","26.800,00","27.980,00","29,86K"
21/01/2011,"27.080,00","27.080,00","27.000,00","27.000,00","1,99K"
25/01/2011,"26.000,00","26.000,00","26.000,00","26.000,00","8,77K"
26/01/2011,"27.100,00","27.100,00","26.420,00","26.420,00","2,80K"
27/01/2011,"29.000,00","29.000,00","29.000,00","29.000,00","1,00K"
31/01/2011,"29.000,00","29.000,00","29.000,00","29.000,00","101,00"
03/02/2011,"29.040,00","29.040,00","29.040,00","29.040,00","600,00"
04/02/2011,"29.000,00","29.000,00","29.000,00","29.000,00","2,00K"
07/02/2011,"29.000,00","29.000,00","29.000,00","29.000,00","694,00"
08/02/2011,"29.000,00","29.000,00","29.000,00","29.000,00","350,00"
11/02/2011,"29.000,00","29.020,00","29.000,00","29.020,00","349,00"
15/02/2011,"29.000,00","29.000,00","29.000,00","29.000,00","96,00"
16/02/2011,"29.000,00","29.000,00","29.000,00","29.000,00","2,00K"
21/02/2011,"29.040,00","29.040,00","29.040,00","29.040,00","4,13K"
24/02/2011,"30.000,00","30.000,00","30.000,00","30.000,00","5,00K"
25/02/2011,"31.000,00","31.000,00","31.000,00","31.000,00","1,60K"
28/02/2011,"31.000,00","31.000,00","31.000,00","31.000,00","1,75K"
08/03/2011,"31.000,00","31.000,00","31.000,00","31.000,00","4,05K"
10/03/2011,"31.000,00","31.000,00","31.000,00","31.000,00","40,27K"
11/03/2011,"30.500,00","30.500,00","30.500,00","30.500,00","500,00"
15/03/2011,"30.000,00","30.000,00","30.000,00","30.000,00","920,00"
16/03/2011,"30.000,00","30.000,00","30.000,00","30.000,00","242,00"
