Data,Último,Máximo,Mínimo,Abertura,Volume
19/08/2014,"17.000,00","17.000,00","14.740,00","14.740,00","1,42M"
20/08/2014,"17.200,00","17.500,00","16.900,00","17.460,00","509,06K"
21/08/2014,"17.900,00","18.100,00","17.200,00","17.200,00","1,10M"
22/08/2014,"17.980,00","18.360,00","17.900,00","17.900,00","228,83K"
25/08/2014,"18.180,00","18.240,00","17.800,00","18.200,00","217,60K"
26/08/2014,"18.060,00","18.200,00","18.040,00","18.200,00","53,01K"
27/08/2014,"18.000,00","18.020,00","17.880,00","17.880,00","83,38K"
28/08/2014,"18.060,00","18.100,00","17.880,00","17.900,00","45,65K"
29/08/2014,"18.100,00","18.140,00","18.060,00","18.060,00","363,72K"
01/09/2014,"18.000,00","18.000,00","18.000,00","18.000,00","8,69K"
02/09/2014,"18.000,00","18.000,00","18.000,00","18.000,00","491,06K"
03/09/2014,"17.900,00","18.000,00","17.900,00","18.000,00","128,45K"
04/09/2014,"18.000,00","18.000,00","17.940,00","17.980,00","58,22K"
05/09/2014,"18.000,00","18.000,00","17.900,00","17.920,00","96,40K"
08/09/2014,"18.000,00","18.000,00","18.000,00","18.000,00","97,17K"
09/09/2014,"17.800,00","18.020,00","17.800,00","18.000,00","32,31K"
10/09/2014,"18.060,00","18.060,00","18.000,00","18.000,00","139,14K"
11/09/2014,"18.000,00","18.000,00","18.000,00","18.000,00","25,95K"
12/09/2014,"18.000,00","18.000,00","18.000,00","18.000,00","206,40K"
15/09/2014,"18.000,00","18.000,00","17.940,00","17.940,00","8,05K"
16/09/2014,"18.060,00","18.060,00","18.000,00","18.040,00","29,18K"
17/09/2014,"18.220,00","18.220,00","18.160,00","18.160,00","625,60K"
18/09/2014,"18.780,00","18.900,00","18.260,00","18.260,00","1,88M"
19/09/2014,"18.900,00","18.900,00","18.800,00","18.900,00","556,70K"
22/09/2014,"18.880,00","18.880,00","18.860,00","18.860,00","14,00K"
23/09/2014,"18.700,00","18.800,00","18.700,00","18.800,00","30,71K"
24/09/2014,"18.560,00","18.700,00","18.560,00","18.600,00","51,66K"
25/09/2014,"18.400,00","18.400,00","17.600,00","17.620,00","27,32K"
26/09/2014,"18.400,00","18.400,00","18.400,00","18.400,00","30,00K"
29/09/2014,"18.400,00","18.500,00","18.400,00","18.500,00","47,73K"
30/09/2014,"18.400,00","18.400,00","18.400,00","18.400,00","20,14K"
01/10/2014,"18.500,00","18.600,00","18.400,00","18.500,00","1,18M"
02/10/2014,"18.500,00","18.500,00","18.500,00","18.500,00","31,79K"
03/10/2014,"18.540,00","18.540,00","18.480,00","18.500,00","580,51K"
08/10/2014,"18.300,00","18.300,00","18.300,00","18.300,00","3,70K"
10/10/2014,"18.080,00","18.100,00","18.000,00","18.100,00","7,76K"
14/10/2014,"18.080,00","18.080,00","18.000,00","18.000,00","41,94K"
15/10/2014,"17.860,00","18.040,00","17.860,00","18.000,00","12,62K"
17/10/2014,"18.000,00","18.000,00","17.860,00","17.860,00","9,06K"
20/10/2014,"17.800,00","17.800,00","17.600,00","17.600,00","5,50K"
22/10/2014,"17.800,00","17.800,00","17.800,00","17.800,00","9,50K"
24/10/2014,"18.000,00","18.000,00","18.000,00","18.000,00","18,00K"
27/10/2014,"18.000,00","18.000,00","17.980,00","17.980,00","591,60K"
28/10/2014,"17.900,00","18.000,00","17.900,00","17.900,00","152,27K"
29/10/2014,"17.980,00","18.000,00","17.960,00","17.980,00","21,73K"
30/10/2014,"17.940,00","18.000,00","17.940,00","17.960,00","143,75K"
31/10/2014,"17.960,00","17.980,00","17.960,00","17.960,00","164,60K"
04/11/2014,"17.900,00","17.900,00","17.900,00","17.900,00","20,00K"
05/11/2014,"17.940,00","17.940,00","17.900,00","17.940,00","115,00K"
06/11/2014,"17.900,00","17.900,00","17.900,00","17.900,00","6,80K"
10/11/2014,"17.900,00","17.940,00","17.900,00","17.940,00","10,00K"
11/11/2014,"17.500,00","17.800,00","17.500,00","17.800,00","261,88K"
13/11/2014,"17.520,00","17.520,00","17.520,00","17.520,00","4,91K"
14/11/2014,"17.600,00","17.600,00","17.600,00","17.600,00","13,00K"
18/11/2014,"17.500,00","17.500,00","17.500,00","17.500,00","17,40K"
24/11/2014,"17.500,00","17.500,00","17.200,00","17.200,00","42,57K"
25/11/2014,"17.500,00","17.500,00","17.440,00","17.500,00","33,51K"
26/11/2014,"17.620,00","17.620,00","17.520,00","17.520,00","48,78K"
27/11/2014,"17.680,00","17.700,00","17.500,00","17.500,00","73,02K"
28/11/2014,"17.660,00","17.700,00","17.640,00","17.640,00","65,17K"
01/12/2014,"17.520,00","17.520,00","17.500,00","17.500,00","14,05K"
02/12/2014,"17.520,00","17.520,00","17.520,00","17.520,00","10,00K"
03/12/2014,"17.500,00","17.500,00","17.500,00","17.500,00","2,22K"
04/12/2014,"17.320,00","17.400,00","17.320,00","17.400,00","51,41K"
09/12/2014,"17.400,00","17.400,00","17.400,00","17.400,00","1,54K"
10/12/2014,"17.300,00","17.300,00","16.480,00","16.480,00","30,12K"
11/12/2014,"16.520,00","16.520,00","16.520,00","16.520,00","1,48K"
12/12/2014,"16.700,00","17.000,00","16.700,00","17.000,00","11,98K"
16/12/2014,"16.700,00","16.700,00","16.560,00","16.580,00","21,97K"
17/12/2014,"17.000,00","17.000,00","15.820,00","15.820,00","29,43K"
19/12/2014,"17.000,00","17.000,00","17.000,00","17.000,00","1,99K"
22/12/2014,"16.980,00","17.000,00","16.900,00","16.980,00","40,00K"
23/12/2014,"17.200,00","17.200,00","16.980,00","16.980,00","54,00K"
24/12/2014,"17.460,00","17.500,00","16.900,00","17.000,00","60,09K"
26/12/2014,"17.500,00","17.500,00","17.500,00","17.500,00","25,00K"
29/12/2014,"17.500,00","17.500,00","17.500,00","17.500,00","3,35K"
30/12/2014,"17.600,00","17.600,00","17.500,00","17.500,00","1,17M"
02/01/2015,"17.600,00","17.600,00","17.600,00","17.600,00","90,90K"
05/01/2015,"17.400,00","17.400,00","17.400,00","17.400,00","50,00K"
06/01/2015,"17.400,00","17.400,00","17.400,00","17.400,00","38,00K"
07/01/2015,"17.400,00","17.400,00","17.400,00","17.400,00","76,29K"
08/01/2015,"17.400,00","17.400,00","17.400,00","17.400,00","34,20K"
09/01/2015,"17.400,00","17.400,00","17.400,00","17.400,00","16,47K"
15/01/2015,"17.100,00","17.100,00","17.100,00","17.100,00","1,93K"
16/01/2015,"17.100,00","17.100,00","17.100,00","17.100,00","40,00K"
19/01/2015,"17.380,00","17.380,00","17.380,00","17.380,00","4,30K"
20/01/2015,"17.380,00","17.400,00","17.380,00","17.380,00","100,00K"
